eval/episode_success_easy,eval/episode_reward_ctrl,_timestamp,eval/episode_success_any,eval/episode_success_hard,training/alpha_loss,render,training/sps,training/log_alpha,step,eval/episode_dist,eval/episode_reward_near,training/critic_loss,eval/episode_reward,_step,training/entropy,eval/episode_success,eval/episode_reward_survive,training/actor_loss,eval/episode_reward_dist,_runtime
0.0,0.0,1774124225.2366254,0.9990234375,0.0,0.0,,50701.962072153125,0.0,25712640.0,34.54511260986328,0.0,3.993971347808838,967.76171875,25712640.0,0.0,967.76171875,0.0,-43.18595504760742,-34.54511260986328,797.284370965
0.0,0.0,1774124230.9708002,1.0,0.0,0.0,,50651.22429177336,0.0,25966592.0,34.55767059326172,0.0,3.9616122245788574,936.83203125,25966592.0,0.0,936.83203125,0.0,-43.11015701293945,-34.55767059326172,802.995787087
0.0,0.0,1774124236.6822824,0.9970703125,0.0,0.0,,50864.53265421754,0.0,26220544.0,35.01258850097656,0.0,3.976613759994507,932.3466796875,26220544.0,0.0,932.3466796875,0.0,-43.10224151611328,-35.01258850097656,808.734280917
0.0,0.0,1774124257.5405529,1.0,0.0,0.0,"{'path': 'media/html/render_26474496_c675185d323169e0a0f7.html', 'size': 859813, '_type': 'html-file', 'sha256': 'c675185d323169e0a0f78fd540ebc236c468bdb660c93c27d59faff6b20a4385'}",50614.73350666605,0.0,26474496.0,35.63036346435547,0.0,3.967435359954834,957.4873046875,26474496.0,0.0,957.4873046875,0.0,-43.17512893676758,-35.63036346435547,823.853609574
0.0,0.0,1774124257.7134848,0.9931640625,0.0,0.0,,50991.75542154163,0.0,26728448.0,34.81319046020508,0.0,3.9848320484161377,959.1015625,26728448.0,0.0,959.1015625,0.0,-43.18223190307617,-34.81319046020508,829.773803145
0.0,0.0,1774124263.460071,1.0,0.0,0.0,,50577.466692744776,0.0,26982400.0,34.26377868652344,0.0,3.953934669494629,937.4541015625,26982400.0,0.0,937.4541015625,0.0,-43.21018600463867,-34.26377868652344,835.489318169
0.0,0.0,1774124269.1757007,0.9990234375,0.0,0.0,,50852.60930536887,0.0,27236352.0,32.653038024902344,0.0,3.9800758361816406,967.7099609375,27236352.0,0.0,967.7099609375,0.0,-43.30153274536133,-32.653038024902344,841.244985252
0.0,0.0,1774124274.9315274,1.0,0.0,0.0,,50435.31016645067,0.0,27490304.0,32.7958984375,0.0,3.9634597301483154,974.2431640625,27490304.0,0.0,974.2431640625,0.0,-43.267635345458984,-32.7958984375,846.971125519
0.0,0.0,1774124296.0903263,1.0,0.0,0.0,"{'path': 'media/html/render_27744256_5a5fdcdc4900577f429b.html', 'size': 854997, '_type': 'html-file', 'sha256': '5a5fdcdc4900577f429bc4026f5957bebbd35eac35c44eb41d28b72783c967c3'}",50728.932214331704,0.0,27744256.0,32.73233413696289,0.0,3.955900192260742,966.03515625,27744256.0,0.0,966.03515625,0.0,-43.3766975402832,-32.73233413696289,862.403377381
0.0,0.0,1774124296.2700646,1.0,0.0,0.0,,50559.42502660281,0.0,27998208.0,33.224613189697266,0.0,3.9713566303253174,966.529296875,27998208.0,0.0,966.529296875,0.0,-43.388893127441406,-33.224613189697266,868.329488275
