training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
0.0,943.0390625,-29.99052619934082,0.0,16062464.0,0.0,0.984375,,0.0,0.0,51075.620959002,3.9649999141693115,498.509096579,0.0,16062464.0,943.0390625,0.0,29.99052619934082,-44.04765701293945,0.0,1774111262.9949133
0.0,909.9248046875,-32.1375617980957,0.0,16316416.0,0.0,0.9716796875,"{'path': 'media/html/render_16316416_915ea338728bf6ff3a4b.html', 'size': 887613, '_type': 'html-file', 'sha256': '915ea338728bf6ff3a4bfd54ddcce9f52b7694ed9432fa02f34c171580a3f6b7'}",0.0,0.0,51089.14875925991,3.981849193572998,513.763104139,0.0,16316416.0,909.9248046875,0.0,32.1375617980957,-44.160152435302734,0.0,1774111283.9413526
0.0,946.474609375,-30.56028175354004,0.0,16570368.0,0.0,0.9990234375,,0.0,0.0,51150.80041786886,3.9911715984344482,519.637244878,0.0,16570368.0,946.474609375,0.0,30.56028175354004,-44.261661529541016,0.0,1774111284.1245685
0.0,952.7724609375,-30.015718460083008,0.0,16824320.0,0.0,0.9970703125,,0.0,0.0,51132.54875383746,4.005304336547852,525.317710749,0.0,16824320.0,952.7724609375,0.0,30.015718460083008,-44.29282760620117,0.0,1774111289.8148625
0.0,970.3349609375,-27.788711547851562,0.0,17078272.0,0.0,1.0,,0.0,0.0,51172.91236641691,4.005969047546387,531.015427738,0.0,17078272.0,970.3349609375,0.0,27.788711547851562,-44.3227653503418,0.0,1774111295.4956713
0.0,936.23046875,-29.925628662109375,0.0,17332224.0,0.0,0.9833984375,,0.0,0.0,51058.22565936489,4.0128679275512695,536.703036066,0.0,17332224.0,936.23046875,0.0,29.925628662109375,-44.3607177734375,0.0,1774111301.1932516
0.0,947.3251953125,-31.980445861816406,0.0,17586176.0,0.0,0.9990234375,"{'path': 'media/html/render_17586176_bebe25cb0b5f5c8ee347.html', 'size': 874089, '_type': 'html-file', 'sha256': 'bebe25cb0b5f5c8ee347ad686c82a7b3f7af3cb05b034545a1b6d262e81835c6'}",0.0,0.0,51114.332186088184,4.0059003829956055,551.649078443,0.0,17586176.0,947.3251953125,0.0,31.980445861816406,-44.36533737182617,0.0,1774111321.8272557
0.0,943.962890625,-31.53659439086914,0.0,17840128.0,0.0,0.9912109375,,0.0,0.0,51135.02803494602,3.9936559200286865,557.453504826,0.0,17840128.0,943.962890625,0.0,31.53659439086914,-44.31268310546875,0.0,1774111321.9800282
0.0,964.0302734375,-31.946800231933594,0.0,18094080.0,0.0,0.9990234375,,0.0,0.0,51516.32964917546,3.9908528327941895,563.106656664,0.0,18094080.0,964.0302734375,0.0,31.946800231933594,-44.32050323486328,0.0,1774111327.6311488
0.0,945.1767578125,-34.07893371582031,0.0,18348032.0,0.0,0.99609375,,0.0,0.0,51491.754271526275,3.9957151412963867,568.749795195,0.0,18348032.0,945.1767578125,0.0,34.07893371582031,-44.342262268066406,0.0,1774111333.2843075
0.0,948.7060546875,-32.21723937988281,0.0,18601984.0,0.0,1.0,,0.0,0.0,51579.509294004325,3.986703395843506,574.413745033,0.0,18601984.0,948.7060546875,0.0,32.21723937988281,-44.373104095458984,0.0,1774111338.9272745
