training/actor_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,training/alpha_loss,render,eval/episode_success,eval/episode_reward_near,eval/episode_success_any,_runtime,eval/episode_success_hard,step,training/critic_loss,_step,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_dist,_timestamp
-19.05320930480957,0.0,-1824.21044921875,914.1767578125,0.4580078125,16.8994140625,-3.8537898944923654e-05,,0.4580078125,0.0,0.0029296875,996.3061118,0.0,15300608.0,0.06101971119642258,15300608.0,0.0,0.0,27588.10674613809,3103.9638671875,1774006257.3114033
-17.40041160583496,0.0,-1702.7685546875,779.6298828125,0.0,14.51171875,8.33366812003078e-06,,0.0,0.0,0.0,1008.537299993,0.0,15554560.0,0.06464583426713943,15554560.0,0.0,0.0,27396.296255920744,2626.8408203125,1774006269.643607
-18.48160743713379,0.0,-1337.446533203125,609.2861328125,0.908203125,17.3564453125,7.90397280070465e-06,,0.908203125,0.0,0.001953125,1020.840044959,0.0,15808512.0,0.06195274740457535,15808512.0,0.0,0.0,27550.50916188921,2080.68798828125,1774006281.8746994
-18.500532150268555,0.0,-1760.0128173828125,807.349609375,0.09375,17.53515625,9.665172910899855e-06,,0.09375,0.0,0.0009765625,1033.07918368,0.0,16062464.0,0.05860495939850807,16062464.0,0.0,0.0,27468.016557886483,2758.2001953125,1774006294.1776834
-19.19103240966797,0.0,-1814.2861328125,822.21484375,0.1298828125,17.0615234375,-1.3851922631147318e-05,"{'_type': 'html-file', 'sha256': '4f24f6f72acac44b5183b2954c46faac2a50d46aaebb00d59821bc1570288b65', 'path': 'media/html/render_16316416_4f24f6f72acac44b5183.html', 'size': 4147773.0}",0.1298828125,0.0,0.001953125,1065.078894706,0.0,16316416.0,0.0621604286134243,16316416.0,0.0,0.0,27538.171690675277,2814.726318359375,1774006338.416999
-18.510950088500977,0.0,-1942.19580078125,870.8037109375,0.31640625,22.8056640625,1.5842803122723126e-06,,0.31640625,0.0,0.00390625,1077.589072817,0.0,16570368.0,0.06214344874024391,16570368.0,0.0,0.0,27478.228979830605,2985.7001953125,1774006338.602127
-17.337818145751953,0.0,-1811.072265625,845.2216796875,0.0400390625,13.9462890625,1.094458275474608e-05,,0.0400390625,0.0,0.0009765625,1089.864856014,0.0,16824320.0,0.057092852890491486,16824320.0,0.0,0.0,27310.923742646555,2840.51220703125,1774006350.9263144
-18.729209899902344,0.0,-1535.116455078125,779.15234375,0.91015625,19.2109375,3.252612486903672e-06,,0.91015625,0.0,0.0029296875,1102.137791343,0.0,17078272.0,0.05943557992577553,17078272.0,0.0,0.0,27539.06594779529,2684.1728515625,1774006363.2021515
-17.742807388305664,0.0,-1638.001953125,789.1943359375,0.54296875,12.9423828125,-1.4539137737301644e-05,,0.54296875,0.0,0.001953125,1114.416654945,0.0,17332224.0,0.06071692705154419,17332224.0,0.0,0.0,27423.430909785864,2686.53271484375,1774006375.4751797
-18.696744918823242,0.0,-1883.159423828125,788.8291015625,0.4501953125,12.2822265625,-5.474619683809578e-06,"{'size': 4141493.0, '_type': 'html-file', 'sha256': '4d1ff029e4888e65e41015bd23b1a086c6e8e33bada1c2f2deda6a3adcc6ffcd', 'path': 'media/html/render_17586176_4d1ff029e4888e65e410.html'}",0.4501953125,0.0,0.001953125,1146.984142093,0.0,17586176.0,0.05544160678982735,17586176.0,0.0,0.0,27537.79649021498,2665.5048828125,1774006420.322238
