eval/episode_reward_dist,eval/episode_reward_near,eval/episode_dist,training/alpha_loss,_timestamp,eval/episode_reward_ctrl,_runtime,training/sps,training/actor_loss,_step,training/critic_loss,eval/episode_success_hard,eval/episode_reward_survive,render,eval/episode_success_any,training/entropy,eval/episode_reward,eval/episode_success_easy,training/log_alpha,eval/episode_success,step
0.0,0.0,5040.8349609375,0.0,1774285159.429675,-2461.1904296875,3609.406516859,30250.809034335623,-2.0935378074645996,32569344.0,0.43075886368751526,0.0,619.91796875,,0.0712890625,0.0,52.5087890625,59.2470703125,0.0,52.5087890625,32569344.0
0.0,0.0,5214.1328125,0.0,1774285231.6159716,-2750.369140625,3659.073163926,30326.117270743685,-2.2824056148529053,32823296.0,0.4459294080734253,0.0,696.63671875,"{'size': 3652781.0, '_type': 'html-file', 'sha256': 'e8adb58eea154653bbbea0f2ad1837a59af6ac0f0363808aada7eb0caa3ad66c', 'path': 'media/html/render_32823296_e8adb58eea154653bbbe.html'}",0.09375,0.0,70.453125,85.0068359375,0.0,70.453125,32823296.0
0.0,0.0,6407.6171875,0.0,1774285231.8271039,-3160.267333984375,3681.859026949,30239.727649824716,-2.3614745140075684,33077248.0,0.48573970794677734,0.0,795.205078125,,0.0888671875,0.0,70.154296875,81.982421875,0.0,70.154296875,33077248.0
0.0,0.0,5039.3994140625,0.0,1774285254.4011786,-2583.7412109375,3704.624809775,30266.09564842143,-2.3031070232391357,33331200.0,0.4663841426372528,0.0,654.365234375,,0.1015625,0.0,68.44921875,83.8232421875,0.0,68.44921875,33331200.0
0.0,0.0,6648.1005859375,0.0,1774285277.166807,-3318.91552734375,3727.115840883,30243.180103518007,-2.5814754962921143,33585152.0,0.47015810012817383,0.0,836.4375,,0.12890625,0.0,102.076171875,111.9677734375,0.0,102.076171875,33585152.0
0.0,0.0,5821.61083984375,0.0,1774285299.6578164,-2920.345703125,3749.890180466,30438.624020834082,-2.492030382156372,33839104.0,0.48285481333732605,0.0,734.57421875,,0.1123046875,0.0,77.0693359375,95.4580078125,0.0,77.0693359375,33839104.0
0.0,0.0,3041.611572265625,0.0,1774285372.2666125,-1699.85400390625,3799.723830732,30215.72652681343,-2.747951030731201,34093056.0,0.5091397762298584,0.0,431.05078125,"{'path': 'media/html/render_34093056_96914108f08e698f92e5.html', 'size': 3785409.0, '_type': 'html-file', 'sha256': '96914108f08e698f92e539b1b3531242779348441818dfe06187f152bf3b3959'}",0.0849609375,0.0,66.5146484375,74.6787109375,0.0,66.5146484375,34093056.0
0.0,0.0,4879.41064453125,0.0,1774285372.4817386,-2525.4287109375,3822.749870459,30311.531628688936,-2.6098499298095703,34347008.0,0.510092556476593,0.0,643.6328125,,0.103515625,0.0,77.6552734375,89.732421875,0.0,77.6552734375,34347008.0
0.0,0.0,4997.5283203125,0.0,1774285395.2921412,-2406.390380859375,3845.289706878,30137.34983081635,-2.8516416549682617,34600960.0,0.5101755857467651,0.0,608.876953125,,0.0810546875,0.0,53.013671875,61.865234375,0.0,53.013671875,34600960.0
0.0,0.0,5834.958984375,0.0,1774285417.8317132,-2975.79736328125,3868.064213926,30313.816800822937,-3.11757493019104,34854912.0,0.5355919599533081,0.0,751.6494140625,,0.1201171875,0.0,85.81640625,100.4111328125,0.0,85.81640625,34854912.0
