training/actor_loss,eval/episode_reward_survive,training/sps,render,_runtime,eval/episode_success,training/entropy,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_timestamp,eval/episode_reward_ctrl,eval/episode_success_any,eval/episode_reward,eval/episode_reward_near,training/critic_loss,eval/episode_success_easy,step,eval/episode_success_hard,training/alpha_loss,_step
0.12453821301460266,896.759765625,29968.41102986375,,3158.549531652,0.0859375,0.0,0.0,0.0,7880.7109375,1774537177.8435075,-3584.1025390625,0.0029296875,0.0859375,0.0,0.005967450328171253,4.1015625,28252160.0,0.0,0.0,28252160.0
0.11871327459812164,899.0087890625,29755.201554447074,,3181.176146219,0.0,0.0,0.0,0.0,7553.12548828125,1774537200.7478325,-3591.7021484375,0.0,0.0,0.0,0.006358851213008165,3.70703125,28506112.0,0.0,0.0,28506112.0
0.11613033711910248,862.8515625,30017.26378952157,,3204.083365797,0.0,0.0,0.0,0.0,7528.205078125,1774537223.3747907,-3449.388671875,0.0,0.0,0.0,0.006854846142232418,1.9375,28760064.0,0.0,0.0,28760064.0
0.11367309838533401,722.1064453125,29741.20961689654,"{'path': 'media/html/render_29014016_d74f0e1f851c1f80d25e.html', 'size': 3717989.0, '_type': 'html-file', 'sha256': 'd74f0e1f851c1f80d25e38e3b47343691ccc742a67a174d93275d880a601eca2'}",3253.612151429,0.0,0.0,0.0,0.0,6200.2099609375,1774537295.8112988,-2886.341796875,0.0,0.0,0.0,0.005509705748409033,0.064453125,29014016.0,0.0,0.0,29014016.0
0.1132933720946312,974.576171875,30019.7298566744,,3276.766010024,0.0,0.0,0.0,0.0,8157.31005859375,1774537296.021445,-3897.642578125,0.0,0.0,0.0,0.004600096959620714,0.8359375,29267968.0,0.0,0.0,29267968.0
0.11022159457206726,991.6806640625,29669.188078698207,,3299.423717712,0.0,0.0,0.0,0.0,8210.919921875,1774537318.9645197,-3966.41650390625,0.0,0.0,0.0,0.0035552631597965956,0.0,29521920.0,0.0,0.0,29521920.0
0.11170857399702072,891.8056640625,29975.281079019278,,3322.329247561,0.0400390625,0.0,0.0,0.0,7367.06201171875,1774537341.621415,-3566.338623046875,0.0009765625,0.0400390625,0.0,0.004441477824002504,2.1044921875,29775872.0,0.0,0.0,29775872.0
0.1106630265712738,958.1943359375,29764.1389862528,,3344.991324672,0.0,0.0,0.0,0.0,8148.33740234375,1774537364.5278022,-3831.57421875,0.0,0.0,0.0,0.005206303671002388,0.0,30029824.0,0.0,0.0,30029824.0
0.10723050683736801,905.0390625,30006.975821629487,"{'size': 3716861.0, '_type': 'html-file', 'sha256': 'c4d69339721dce3800b2fe301a7bbd5ca080fe79740ccc37a3ffd08f0cfb37a3', 'path': 'media/html/render_30283776_c4d69339721dce3800b2.html'}",3394.810072818,0.8828125,0.0,0.0,0.0,7804.4443359375,1774537437.009248,-3618.23583984375,0.0009765625,0.8828125,0.0,0.004088421817868948,3.6171875,30283776.0,0.0,0.0,30283776.0
0.10317321866750717,999.076171875,29751.98010739464,,3417.675499006,0.0,0.0,0.0,0.0,8350.642578125,1774537437.2164683,-3995.86474609375,0.0,0.0,0.0,0.0032907172571867704,0.0,30537728.0,0.0,0.0,30537728.0
