eval/episode_reward_survive,training/critic_loss,training/actor_loss,render,training/alpha_loss,_timestamp,_step,eval/episode_dist,eval/episode_success_easy,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_hard,step,training/log_alpha,eval/episode_success_any,training/entropy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,_runtime,training/sps
0.0,8.925208931032103e-06,-0.0007742703310213983,"{'sha256': 'd3d7f831f7e795195246842108ad2c60beb79251cc8984e9e8b554d3491df49e', 'path': 'media/html/render_31013888_d3d7f831f7e795195246.html', 'size': 4716853.0, '_type': 'html-file'}",3.16698403612925e-11,1774003317.0813339,31013888.0,212.20162963867188,19.431640625,0.0078125,0.0,0.0,31013888.0,0.0,0.00390625,0.0,0.0,0.0,0.0078125,2638.733170577,21889.42168540254
0.0,7.824695785529912e-06,-0.0006549544632434845,,3.1675585765444936e-11,1774003317.352041,31267840.0,217.20152282714844,16.99609375,0.0,0.0,0.0,31267840.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.590509939,21895.233797637953
0.0,6.2371841522690374e-06,-0.0005820906371809542,,3.166849074642819e-11,1774003332.938108,31521792.0,217.84634399414062,18.263671875,0.0,0.0,0.0,31521792.0,0.0,0.0,0.0,0.0,0.0,0.0,2670.163825358,21874.00397696883
0.0,6.724874310748419e-06,-0.0005769619019702077,,3.167415635330073e-11,1774003348.5113769,31775744.0,217.89183044433594,18.2109375,0.0,0.0,0.0,31775744.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.71939588,21874.56729512886
0.0,8.925682777771726e-06,-0.0006203018710948527,,3.1670291389396255e-11,1774003364.0671005,32029696.0,219.15780639648438,15.91015625,0.0,0.0,0.0,32029696.0,0.0,0.0,0.0,0.0,0.0,0.0,2701.295871715,21915.64493438507
0.0,6.847048098279629e-06,-0.0006542943301610649,"{'path': 'media/html/render_32283648_407090e853ec756362af.html', 'size': 4713669.0, '_type': 'html-file', 'sha256': '407090e853ec756362af6f440f1931d87bb6c00b13514d8e2fea9a3400fe3b74'}",3.1673559608424995e-11,1774003422.0761771,32283648.0,215.96517944335938,18.0390625,0.00390625,0.0,0.0,32283648.0,0.0,0.001953125,0.0,0.0,0.0,0.00390625,2743.72796759,21877.661570151737
0.0,6.725777438987279e-06,-0.0005705351359210908,,3.167336878884264e-11,1774003422.3290863,32537600.0,218.4344024658203,16.779296875,0.0,0.0,0.0,32537600.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.601559151,21892.128700948073
0.0,7.091931365721393e-06,-0.0005801572115160525,,3.1675675971065687e-11,1774003437.949294,32791552.0,217.75985717773438,18.234375,0.0,0.0,0.0,32791552.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.139793885,21800.991175459916
0.0,8.680737664690241e-06,-0.0007334337569773197,,3.1674395745140416e-11,1774003453.48737,33045504.0,217.77430725097656,16.666015625,0.0,0.0,0.0,33045504.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.717365151,21940.190124248016
0.0,5.6258322729263455e-06,-0.0005249289679341018,,3.166349821226433e-11,1774003469.0650024,33299456.0,212.8778076171875,19.08203125,0.001953125,0.0,0.0,33299456.0,0.0,0.001953125,0.0,0.0,0.0,0.001953125,2806.295714103,21883.596022815767
