training/sps,training/actor_loss,training/entropy,_runtime,eval/episode_reward_ctrl,eval/episode_success_easy,eval/episode_reward_dist,eval/episode_success,eval/episode_reward,training/alpha_loss,render,_timestamp,eval/episode_dist,eval/episode_success_hard,eval/episode_reward_near,training/critic_loss,eval/episode_reward_survive,eval/episode_success_any,step,training/log_alpha,_step
33375.473058318756,4.866858489549486e-06,0.0,2271.951465805,0.0,10.947265625,0.0,0.0,0.0,0.0,,1774341064.976518,121.21449279785156,0.0,0.0,3.2818154444003156e-11,0.0,0.0,33299456.0,0.0,33299456.0
33345.7270776278,9.999482699640794e-07,0.0,2308.890465054,0.0,9.009765625,0.0,0.0,0.0,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_33553408_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774341113.4749882,124.72392272949219,0.0,0.0,2.4531016151740914e-07,0.0,0.0,33553408.0,0.0,33553408.0
33354.13905007931,-2.2626684312854195e-06,0.0,2320.681391921,0.0,10.24609375,0.0,0.00390625,0.00390625,0.0,,1774341113.6935704,120.49979400634766,0.0,0.0,2.0605175551913213e-11,0.0,0.001953125,33807360.0,0.0,33807360.0
33325.484118416185,-3.222623035981087e-06,0.0,2332.228662408,0.0,10.4375,0.0,0.0,0.0,0.0,,1774341125.2650323,121.25112915039062,0.0,0.0,3.2161915491935034e-11,0.0,0.0,34061312.0,0.0,34061312.0
33404.1543450773,-3.030623702215962e-06,0.0,2343.781952082,0.0,8.701171875,0.0,0.0078125,0.0078125,0.0,,1774341136.8128796,125.41497802734375,0.0,0.0,3.2037851538380124e-11,0.0,0.00390625,34315264.0,0.0,34315264.0
33381.741638094616,-1.4623161632698611e-06,0.0,2355.322543472,0.0,10.083984375,0.0,0.0,0.0,0.0,,1774341148.3660173,124.60763549804688,0.0,0.0,3.195477216166864e-11,0.0,0.0,34569216.0,0.0,34569216.0
33434.98912459968,2.908440592364059e-06,0.0,2393.449151208,0.0,11.908203125,0.0,0.005859375,0.005859375,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_34823168_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774341198.0337186,119.32975006103516,0.0,0.0,3.204224732766825e-11,0.0,0.00390625,34823168.0,0.0,34823168.0
33384.67643117486,2.9302682378329337e-06,0.0,2405.278685038,0.0,9.9140625,0.0,0.0,0.0,0.0,,1774341198.2618363,124.55208587646484,0.0,0.0,3.21532384051082e-11,0.0,0.0,35077120.0,0.0,35077120.0
33245.5367258047,3.7078007153468207e-06,0.0,2416.828475223,0.0,10.4609375,0.0,0.0,0.0,0.0,,1774341209.8626885,122.55023956298828,0.0,0.0,3.230016254462953e-11,0.0,0.0,35331072.0,0.0,35331072.0
33392.97197324667,3.226559101676685e-06,0.0,2428.383379903,0.0,10.318359375,0.0,0.001953125,0.001953125,0.0,,1774341221.4126704,122.42198944091797,0.0,0.0,3.2215584366834804e-11,0.0,0.001953125,35585024.0,0.0,35585024.0
33375.815034234,-2.8999036203458672e-06,0.0,2439.933413546,0.0,10.037109375,0.0,0.0,0.0,0.0,,1774341232.967062,124.29755401611328,0.0,0.0,3.261659345388246e-11,0.0,0.0,35838976.0,0.0,35838976.0
33391.26459258215,-4.173285560682416e-06,0.0,2478.607257379,0.0,9.91796875,0.0,0.0,0.0,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_36092928_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774341283.1917372,123.60655212402344,0.0,0.0,3.2794354037912754e-11,0.0,0.0,36092928.0,0.0,36092928.0
33350.94124878052,9.7861334324989e-07,0.0,2490.412030447,0.0,10.279296875,0.0,0.0,0.0,0.0,,1774341283.4077246,124.3571548461914,0.0,0.0,3.227336453637264e-11,0.0,0.0,36346880.0,0.0,36346880.0
33259.21144593209,3.5535069855541224e-06,0.0,2501.953763584,0.0,10.1640625,0.0,0.0078125,0.0078125,0.0,,1774341294.9960828,122.5284652709961,0.0,0.0,3.223713657130034e-11,0.0,0.001953125,36600832.0,0.0,36600832.0
33428.98484806449,9.715869282445055e-07,0.0,2513.5176658,0.0,9.88671875,0.0,0.0078125,0.0078125,0.0,,1774341306.5379696,123.6675796508789,0.0,0.0,3.1986829851504694e-11,0.0,0.00390625,36854784.0,0.0,36854784.0
33340.99355477465,1.3059003549642512e-06,0.0,2525.058695905,0.0,9.220703125,0.0,0.0,0.0,0.0,,1774341318.1017923,124.2271728515625,0.0,0.0,3.227598049937441e-11,0.0,0.0,37108736.0,0.0,37108736.0
33381.984353634856,-1.586737562320195e-05,0.0,2563.601590488,0.0,8.634765625,0.0,0.0,0.0,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_37362688_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774341368.1861067,128.83413696289062,0.0,0.0,1.2251925909367856e-06,0.0,0.0,37362688.0,0.0,37362688.0
33386.13721927242,-4.691239519161172e-05,0.0,2575.479430614,0.0,9.01171875,0.0,0.0,0.0,0.0,,1774341368.478549,126.0770492553711,0.0,0.0,1.591169166204054e-06,0.0,0.0,37616640.0,0.0,37616640.0
33224.426490396654,-3.368938996572979e-05,0.0,2587.032927833,0.0,10.3984375,0.0,0.0,0.0,0.0,,1774341380.0636027,121.81944274902344,0.0,0.0,9.795680853130762e-07,0.0,0.0,37870592.0,0.0,37870592.0
33361.83738338921,-2.9839249691576697e-05,0.0,2598.562736456,0.0,11.08984375,0.0,0.001953125,0.001953125,0.0,,1774341391.616625,121.56122589111328,0.0,0.0,7.348273811658146e-07,0.0,0.001953125,38124544.0,0.0,38124544.0
33411.15263356831,-4.294509926694445e-05,0.0,2610.112249334,0.0,11.615234375,0.0,0.0078125,0.0078125,0.0,,1774341403.1469312,119.71763610839844,0.0,0.0,2.081424554489786e-06,0.0,0.001953125,38378496.0,0.0,38378496.0
33385.10335315729,-4.2569077777443454e-05,0.0,2647.076951485,0.0,10.494140625,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_38632448_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file', 'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8'}",1774341451.6614895,120.48622131347656,0.0,0.0,1.3470363455780898e-06,0.0,0.0,38632448.0,0.0,38632448.0
33364.490678883405,-8.098958642221987e-05,0.0,2658.870939934,0.0,10.03515625,0.0,0.00390625,0.00390625,0.0,,1774341451.8788545,122.96745300292969,0.0,0.0,3.181443162247888e-06,0.0,0.001953125,38886400.0,0.0,38886400.0
33305.965551971254,-7.710160571150482e-05,0.0,2670.426238049,0.0,9.44921875,0.0,0.00390625,0.00390625,0.0,,1774341463.4551568,125.85693359375,0.0,0.0,2.693326450753375e-06,0.0,0.001953125,39140352.0,0.0,39140352.0
