eval/episode_reward,eval/episode_dist,eval/episode_success,eval/episode_reward_survive,training/sps,training/critic_loss,eval/episode_success_hard,_timestamp,training/log_alpha,training/actor_loss,training/alpha_loss,eval/episode_reward_dist,eval/episode_success_easy,training/entropy,render,eval/episode_success_any,_step,eval/episode_reward_near,step,eval/episode_reward_ctrl,_runtime
0.0,52.38749694824219,0.0,0.0,33273.986714420265,3.316038416079081e-11,0.0,1774364214.805654,0.0,3.416089612073847e-06,0.0,0.0,3.958984375,0.0,,0.0,28728320.0,0.0,28728320.0,0.0,1982.931879602
0.0,50.57122039794922,0.0,0.0,33181.03146169263,3.223692146558932e-11,0.0,1774364226.417875,0.0,1.9817939573840704e-06,0.0,0.0,4.197265625,0.0,,0.0,28982272.0,0.0,28982272.0,0.0,1994.514801982
0.0,51.57133483886719,0.0,0.0,33234.820113965136,3.350176386307524e-11,0.0,1774364238.0009837,0.0,3.6252286008675583e-06,0.0,0.0,3.982421875,0.0,,0.0,29236224.0,0.0,29236224.0,0.0,2006.111996497
0.0,52.130332946777344,0.0,0.0,33178.64599804065,3.413787655337508e-11,0.0,1774364249.5980093,0.0,4.312109467718983e-06,0.0,0.0,3.875,0.0,,0.0,29490176.0,0.0,29490176.0,0.0,2017.690719367
0.0,50.84680938720703,0.0,0.0,33257.421144176275,3.305898957361997e-11,0.0,1774364299.3359737,0.0,3.481632802504464e-06,0.0,0.0,4.310546875,0.0,"{'path': 'media/html/render_29744128_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,29744128.0,0.0,29744128.0,0.0,2055.849166861
0.0,52.35778045654297,0.0,0.0,33397.970546061726,3.22651211304148e-11,0.0,1774364299.5608287,0.0,1.8656020301932585e-06,0.0,0.0,3.626953125,0.0,,0.0,29998080.0,0.0,29998080.0,0.0,2067.716406431
0.0,52.23476791381836,0.0,0.0,33154.56046941906,3.298462197820484e-11,0.0,1774364311.2025154,0.0,3.2088403258967446e-06,0.0,0.0,4.357421875,0.0,,0.0,30252032.0,0.0,30252032.0,0.0,2079.301513328
0.0,52.190879821777344,0.0,0.0,33231.67521689858,3.269141901629524e-11,0.0,1774364322.7877138,0.0,2.9891377835156163e-06,0.0,0.0,4.064453125,0.0,,0.0,30505984.0,0.0,30505984.0,0.0,2090.87664319
0.0,50.69427490234375,0.0,0.0,33258.6766198241,3.25860310956827e-11,0.0,1774364334.3626962,0.0,2.708477040869184e-06,0.0,0.0,4.091796875,0.0,,0.0,30759936.0,0.0,30759936.0,0.0,2102.467001173
0.0,50.50741958618164,0.0,0.0,33209.11950790916,3.369224690907835e-11,0.0,1774364382.9379933,0.0,3.948445737478323e-06,0.0,0.0,4.408203125,0.0,"{'_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f', 'path': 'media/html/render_31013888_f94447b6c646345518df.html', 'size': 4700829.0}",0.0,31013888.0,0.0,31013888.0,0.0,2139.451286312
0.0,50.509708404541016,0.0,0.0,33267.78243311787,3.305443418977205e-11,0.0,1774364383.2067423,0.0,3.5728021430259105e-06,0.0,0.0,4.076171875,0.0,,0.0,31267840.0,0.0,31267840.0,0.0,2151.336318711
