training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,_runtime,eval/episode_dist,eval/episode_reward_survive,training/critic_loss,_timestamp,training/entropy,render,eval/episode_reward_dist,eval/episode_reward_ctrl,eval/episode_reward_near,_step,eval/episode_reward,training/log_alpha,eval/episode_success_hard,training/sps,eval/episode_success,step,training/actor_loss
-3.0665942176710814e-06,1.0,0.0,935.296712306,23.895414352416992,0.0,0.04602636769413948,1773889704.9885874,0.0,,-23.895414352416992,0.0,0.0,23173120.0,977.5849609375,0.0,0.0,33854.68973813937,977.5849609375,23173120.0,-97.73143005371094
2.570838296378497e-05,1.0,0.0,943.529008739,23.753618240356445,0.0,0.05777173116803169,1773889713.2101352,0.0,,-23.753618240356445,0.0,0.0,23427072.0,977.498046875,0.0,0.0,33869.355980910965,977.498046875,23427072.0,-97.73633575439453
-2.5223102056770585e-05,1.0,0.0,951.727029696,27.88719940185547,0.0,0.07084962725639343,1773889721.442605,0.0,,-27.88719940185547,0.0,0.0,23681024.0,969.91796875,0.0,0.0,33807.56486391079,969.91796875,23681024.0,-97.59452819824219
1.9141116354148835e-05,1.0,0.0,969.146914407,22.812519073486328,0.0,0.03822312131524086,1773889747.0610626,0.0,"{'path': 'media/html/render_23934976_61dde0f3db38d7290fc9.html', 'size': 909353, '_type': 'html-file', 'sha256': '61dde0f3db38d7290fc9439e219ae18f600b4f6dc8d53469474def4582593cca'}",-22.812519073486328,0.0,0.0,23934976.0,971.5390625,0.0,0.0,33962.844188510586,971.5390625,23934976.0,-97.68212890625
-5.252088612905936e-06,0.9990234375,0.0,977.562499875,25.245319366455078,0.0,0.05397959426045418,1773889747.2382762,0.0,,-25.245319366455078,0.0,0.0,24188928.0,967.7587890625,0.0,0.0,33904.674205608986,967.7587890625,24188928.0,-97.69734954833984
-2.787893208733294e-05,1.0,0.0,985.777067565,26.22860336303711,0.0,0.04314188286662102,1773889755.4758136,0.0,,-26.22860336303711,0.0,0.0,24442880.0,970.419921875,0.0,0.0,33812.99102899433,970.419921875,24442880.0,-97.74075317382812
2.0064426280441694e-05,1.0,0.0,993.966974177,25.798585891723633,0.0,0.04930569604039192,1773889763.6905386,0.0,,-25.798585891723633,0.0,0.0,24696832.0,967.630859375,0.0,0.0,33888.88079232295,967.630859375,24696832.0,-97.7647705078125
-7.885121158324182e-05,1.0,0.0,1002.176074586,24.979684829711914,0.0,0.054039500653743744,1773889771.8803902,0.0,,-24.979684829711914,0.0,0.0,24950784.0,968.8359375,0.0,0.0,34002.04562276991,968.8359375,24950784.0,-97.88088989257812
2.760482630037586e-06,0.9990234375,0.0,1019.582511794,26.10812759399414,0.0,0.04305017367005348,1773889797.4966683,0.0,"{'path': 'media/html/render_25204736_d04dcf6a42696002b1bc.html', 'size': 908257, '_type': 'html-file', 'sha256': 'd04dcf6a42696002b1bcdc3988cda0b72aea6b240f58c971ec07da42f6d7e160'}",-26.10812759399414,0.0,0.0,25204736.0,971.509765625,0.0,0.0,33912.50355299824,971.509765625,25204736.0,-97.90050506591797
1.5004951819719281e-05,1.0,0.0,1027.969633104,24.705486297607422,0.0,0.03504857048392296,1773889797.6492646,0.0,,-24.705486297607422,0.0,0.0,25458688.0,976.05859375,0.0,0.0,33825.84111228911,976.05859375,25458688.0,-97.9394302368164
6.0165230024722405e-06,1.0,0.0,1036.213281244,23.969955444335938,0.0,0.03252258524298668,1773889805.8831012,0.0,,-23.969955444335938,0.0,0.0,25712640.0,975.7216796875,0.0,0.0,33819.813768873806,975.7216796875,25712640.0,-97.9859390258789
1.4501409168587998e-05,1.0,0.0,1044.429469103,24.243732452392578,0.0,0.030149396508932114,1773889814.1268585,0.0,,-24.243732452392578,0.0,0.0,25966592.0,979.6591796875,0.0,0.0,33751.32179872378,979.6591796875,25966592.0,-98.06300354003906
2.545813003962394e-06,1.0,0.0,1052.678018194,23.74941635131836,0.0,0.029593488201498985,1773889822.3429296,0.0,,-23.74941635131836,0.0,0.0,26220544.0,973.7724609375,0.0,0.0,33872.52579098162,973.7724609375,26220544.0,-98.1094970703125
6.900284006405855e-06,1.0,0.0,1070.024056517,25.218002319335938,0.0,0.02653178572654724,1773889847.9381697,0.0,"{'path': 'media/html/render_26474496_87a4cc05a75c92c14cb9.html', 'size': 907581, '_type': 'html-file', 'sha256': '87a4cc05a75c92c14cb9f689a6ae131b5b94c1e01640769acaec352f72e1162e'}",-25.218002319335938,0.0,0.0,26474496.0,973.7978515625,0.0,0.0,33739.073287446925,973.7978515625,26474496.0,-98.13265991210938
-2.9968769013066776e-06,1.0,0.0,1078.421882638,24.001174926757812,0.0,0.028465772047638893,1773889848.087748,0.0,,-24.001174926757812,0.0,0.0,26728448.0,976.5673828125,0.0,0.0,33873.42094161424,976.5673828125,26728448.0,-98.1425552368164
2.885166395572014e-06,1.0,0.0,1086.635015954,23.79351043701172,0.0,0.029272792860865593,1773889856.3353128,0.0,,-23.79351043701172,0.0,0.0,26982400.0,979.2392578125,0.0,0.0,33753.272631146516,979.2392578125,26982400.0,-98.16506958007812
-1.5666896047150658e-07,1.0,0.0,1094.860818911,23.86564826965332,0.0,0.02689160779118538,1773889864.5484445,0.0,,-23.86564826965332,0.0,0.0,27236352.0,973.970703125,0.0,0.0,33884.66659786781,973.970703125,27236352.0,-98.19190979003906
1.3776445484836586e-05,1.0,0.0,1103.106525527,23.301942825317383,0.0,0.026986299082636833,1773889872.774167,0.0,,-23.301942825317383,0.0,0.0,27490304.0,979.048828125,0.0,0.0,33842.972552751366,979.048828125,27490304.0,-98.2416000366211
-1.0204080354014877e-05,1.0,0.0,1120.543167782,26.4971923828125,0.0,0.02801472693681717,1773889898.4573314,0.0,"{'sha256': '13f1ca0f88b64d05af2d5504b67ddcf9b6a5eea7c8f1ddaa28ce9328d07d86ba', 'path': 'media/html/render_27744256_13f1ca0f88b64d05af2d.html', 'size': 909601, '_type': 'html-file'}",-26.4971923828125,0.0,0.0,27744256.0,975.869140625,0.0,0.0,33742.40581510677,975.869140625,27744256.0,-98.24874877929688
1.3082143595966045e-05,1.0,0.0,1128.961256998,24.202228546142578,0.0,0.025774018839001656,1773889898.6215265,0.0,,-24.202228546142578,0.0,0.0,27998208.0,978.5947265625,0.0,0.0,33803.37086775033,978.5947265625,27998208.0,-98.2660903930664
2.753786475295783e-06,0.9990234375,0.0,1137.17956315,24.468185424804688,0.0,0.025691673159599304,1773889906.8748696,0.0,,-24.468185424804688,0.0,0.0,28252160.0,976.4912109375,0.0,0.0,33737.52267877133,976.4912109375,28252160.0,-98.30033874511719
1.3886672149965307e-06,1.0,0.0,1145.412202429,25.232465744018555,0.0,0.02308291383087635,1773889915.0931566,0.0,,-25.232465744018555,0.0,0.0,28506112.0,978.375,0.0,0.0,33876.07866513062,978.375,28506112.0,-98.35034942626953
9.898432153931935e-07,0.994140625,0.0,1153.622038406,24.897077560424805,0.0,0.025493383407592773,1773889923.325698,0.0,,-24.897077560424805,0.0,0.0,28760064.0,968.900390625,0.0,0.0,33805.32879477671,968.900390625,28760064.0,-98.35122680664062
9.549637070449535e-06,1.0,0.0,1171.198487276,24.733661651611328,0.0,0.026029622182250023,1773889949.112663,0.0,"{'path': 'media/html/render_29014016_b81a62ab490d404977de.html', 'size': 908933, '_type': 'html-file', 'sha256': 'b81a62ab490d404977ded991188636aea0d01d15cd46180dc3c7059b8025cd0c'}",-24.733661651611328,0.0,0.0,29014016.0,976.240234375,0.0,0.0,33914.74518448248,976.240234375,29014016.0,-98.30998992919922
