training/entropy,render,training/sps,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_ctrl,training/critic_loss,_timestamp,eval/episode_reward,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward_near,_step,eval/episode_success,_runtime,training/actor_loss,step,training/log_alpha,eval/episode_success_hard
0.0,,28877.580325986,0.0,5.181664164410904e-06,0.154296875,125.099609375,-1900.6259765625,0.09985663741827011,1773547703.7082574,104.375,886.603515625,6796.39404296875,0.0,18348032.0,104.375,2072.160854361,-15.444844245910645,18348032.0,0.0,0.0
0.0,,28763.596879262615,0.0,6.71898078508093e-06,0.1337890625,131.0361328125,-1740.8883056640625,0.09408152848482132,1773547726.8132412,107.025390625,819.97265625,6135.66748046875,0.0,18601984.0,107.025390625,2095.113671431,-15.534846305847168,18601984.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '4d5dc2eb1742602b767423f8c532baf5f38a68036ebe6adb28b01f9cd6d8e42b', 'path': 'media/html/render_18855936_4d5dc2eb1742602b7674.html', 'size': 3878781.0}",28899.370176033113,0.0,-2.212388972111512e-05,0.1650390625,157.6865234375,-1636.7017822265625,0.09701042622327805,1773547799.7298253,137.1279296875,702.845703125,4888.7421875,0.0,18855936.0,137.1279296875,2145.076921276,-15.629785537719727,18855936.0,0.0,0.0
0.0,,28751.573334588684,0.0,2.6862309823627584e-05,0.15625,158.0517578125,-1676.638671875,0.09633995592594147,1773547799.9246337,130.2333984375,819.0947265625,6145.48828125,0.0,19109888.0,130.2333984375,2168.279552032,-15.637165069580078,19109888.0,0.0,0.0
0.0,,28795.93619968391,0.0,-8.053133205976337e-05,0.1357421875,155.9248046875,-1966.035400390625,0.10372255742549896,1773547822.9318497,99.7216796875,869.5263671875,6198.62939453125,0.0,19363840.0,99.7216796875,2191.385155208,-15.635618209838867,19363840.0,0.0,0.0
0.0,,28741.427220623784,0.0,-1.333059753960697e-05,0.142578125,125.3486328125,-1708.974853515625,0.10119223594665527,1773547846.0375485,112.5341796875,803.0283203125,6176.6552734375,0.0,19617792.0,112.5341796875,2214.323002716,-15.931910514831543,19617792.0,0.0,0.0
0.0,,28930.318333377607,0.0,2.9485054255928844e-05,0.1484375,141.017578125,-1858.351318359375,0.08965019881725311,1773547868.9753492,121.9169921875,855.193359375,6189.3828125,0.0,19871744.0,121.9169921875,2237.421685449,-15.986733436584473,19871744.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '533fb638817aa989006075f44fa6b5d2a507aaec0ac0938fff1f0991880c45f8', 'path': 'media/html/render_20125696_533fb638817aa9890060.html', 'size': 3854685.0}",28747.457546275862,0.0,-0.00010062677756650373,0.1201171875,130.0009765625,-2180.258544921875,0.09322470426559448,1773547941.6192622,82.2431640625,956.3408203125,7404.2333984375,0.0,20125696.0,82.2431640625,2286.966247645,-15.870588302612305,20125696.0,0.0,0.0
0.0,,28892.652097660055,0.0,9.758197120390832e-05,0.138671875,137.271484375,-1927.7562255859375,0.08411217480897903,1773547941.8296144,116.6728515625,897.900390625,6705.13525390625,0.0,20379648.0,116.6728515625,2310.313924031,-15.89400863647461,20379648.0,0.0,0.0
0.0,,28667.153698571663,0.0,2.8082196877221577e-05,0.1318359375,140.26953125,-1850.003173828125,0.08502114564180374,1773547964.9662004,105.837890625,887.2685546875,6657.169921875,0.0,20633600.0,105.837890625,2333.27463125,-15.714406967163086,20633600.0,0.0,0.0
0.0,,28879.4367173128,0.0,1.910218270495534e-05,0.130859375,128.759765625,-1836.172119140625,0.08855516463518143,1773547987.9269006,104.7861328125,889.5380859375,6660.01171875,0.0,20887552.0,104.7861328125,2356.393076613,-15.769364356994629,20887552.0,0.0,0.0
0.0,,28730.645808908463,0.0,-8.772533874434885e-06,0.1748046875,160.31640625,-1980.572998046875,0.08037374168634415,1773548011.0453975,142.37109375,929.2119140625,6712.740234375,0.0,21141504.0,142.37109375,2379.351675482,-15.770035743713379,21141504.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '9b0eb73f0c860ad94cab0b30e151d41079cb178a3a133890121f6eab8c772934', 'path': 'media/html/render_21395456_9b0eb73f0c860ad94cab.html', 'size': 3854009.0}",28873.436994919055,0.0,1.4810642824159004e-05,0.1474609375,147.2958984375,-1969.8636474609375,0.10049611330032349,1773548083.7438521,115.3359375,921.5673828125,6636.634765625,0.0,21395456.0,115.3359375,2429.090861827,-15.6870698928833,21395456.0,0.0,0.0
0.0,,28725.181830981885,0.0,2.395831143076066e-05,0.171875,165.927734375,-1986.357177734375,0.09951802343130112,1773548083.9640305,141.72265625,943.7236328125,6924.0419921875,0.0,21649408.0,141.72265625,2452.318213492,-15.738901138305664,21649408.0,0.0,0.0
0.0,,28775.966320116557,0.0,5.888047780899797e-06,0.154296875,144.6005859375,-1875.918212890625,0.10417044162750244,1773548106.970426,125.8798828125,961.482421875,7283.595703125,0.0,21903360.0,125.8798828125,2475.414622636,-15.66730785369873,21903360.0,0.0,0.0
