training/actor_loss,_runtime,_timestamp,eval/episode_reward_survive,_step,render,training/alpha_loss,training/sps,eval/episode_reward,eval/episode_reward_ctrl,training/entropy,eval/episode_success_hard,step,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_easy,training/log_alpha,training/critic_loss,eval/episode_reward_near,eval/episode_success,eval/episode_dist
-7.700343132019043,2215.941592837,1773600057.530493,864.2548828125,19617792.0,,4.288328909751726e-06,28920.54431313795,12.1123046875,-1890.065673828125,0.0,0.0,19617792.0,0.025390625,0.0,23.1962890625,0.0,0.2979203760623932,0.0,12.1123046875,6824.8466796875
-7.920355796813965,2238.991081069,1773600080.3778343,941.2568359375,19871744.0,,-3.492045266284549e-07,29179.208907698256,76.64453125,-1873.8740234375,0.0,0.0,19871744.0,0.1220703125,0.0,131.6044921875,0.0,0.30742889642715454,0.0,76.64453125,7395.07421875
-7.963385581970215,2288.780164878,1773600153.2171679,974.2783203125,20125696.0,"{'path': 'media/html/render_20125696_c3ec8740959fb52560a7.html', 'size': 3866337.0, '_type': 'html-file', 'sha256': 'c3ec8740959fb52560a7e9f1864b98993e82e8840ffb5d6aa7c7b39e2bb19dc9'}",-1.9370880181668326e-05,28957.939314336807,15.44140625,-1998.0152587890625,0.0,0.0,20125696.0,0.0302734375,0.0,30.46875,0.0,0.30619147419929504,0.0,15.44140625,7685.0419921875
-8.159735679626465,2312.082286235,1773600153.4254367,784.3330078125,20379648.0,,2.1567722797044553e-05,29134.85271417826,54.482421875,-1601.684326171875,0.0,0.0,20379648.0,0.0927734375,0.0,90.55078125,0.0,0.31705617904663086,0.0,54.482421875,6277.5087890625
-8.173977851867676,2334.961341766,1773600176.5187318,879.19140625,20633600.0,,-3.327272861497477e-05,28906.38319893375,71.5712890625,-1861.5850830078125,0.0,0.0,20633600.0,0.1171875,0.0,116.8583984375,0.0,0.28102466464042664,0.0,71.5712890625,6659.07470703125
-8.2494535446167,2358.017177823,1773600199.3976724,924.6142578125,20887552.0,,3.5166893212590367e-05,29125.26574814394,57.3125,-1845.01953125,0.0,0.0,20887552.0,0.1005859375,0.0,97.634765625,0.0,0.29853934049606323,0.0,57.3125,7306.2763671875
-8.100411415100098,2380.896600727,1773600222.4535377,881.296875,21141504.0,,4.016583625343628e-05,28984.33296132553,75.9912109375,-1800.472900390625,0.0,0.0,21141504.0,0.126953125,0.0,120.4365234375,0.0,0.3014492988586426,0.0,75.9912109375,6921.6240234375
-8.072924613952637,2430.782962294,1773600295.2199838,854.03125,21395456.0,"{'path': 'media/html/render_21395456_ddea5713a57d6a839391.html', 'size': 3862405.0, '_type': 'html-file', 'sha256': 'ddea5713a57d6a8393916e9da546ce396e193da7cb214e6b5b642e603bb27c5f'}",-3.292741166660562e-05,29127.26881805819,54.775390625,-1785.7677001953125,0.0,0.0,21395456.0,0.1015625,0.0,101.8203125,0.0,0.3052450120449066,0.0,54.775390625,6692.16162109375
-8.355531692504883,2453.894625274,1773600295.4354796,905.7998046875,21649408.0,,2.048414171440527e-05,28970.58603130928,49.8828125,-1904.06640625,0.0,0.0,21649408.0,0.0927734375,0.0,90.234375,0.0,0.2954050898551941,0.0,49.8828125,7417.91064453125
-8.57615852355957,2476.94847299,1773600318.3310225,956.908203125,21903360.0,,1.832293492043391e-05,29084.145511505016,14.84375,-2021.7288818359375,0.0,0.0,21903360.0,0.0322265625,0.0,32.3115234375,0.0,0.2853730618953705,0.0,14.84375,7699.45263671875
-8.600935935974121,2499.83720696,1773600341.384831,859.4091796875,22157312.0,,3.552644921001047e-05,28984.8172348264,74.3916015625,-1768.485107421875,0.0,0.0,22157312.0,0.1201171875,0.0,108.796875,0.0,0.29485422372817993,0.0,74.3916015625,6611.931640625
-8.628965377807617,2522.892930065,1773600364.2729812,965.568359375,22411264.0,,-2.83633780782111e-05,29100.565831256194,51.685546875,-2019.749267578125,0.0,0.0,22411264.0,0.0830078125,0.0,79.9208984375,0.0,0.28996649384498596,0.0,51.685546875,7492.0283203125
-8.735269546508789,2572.912482811,1773600437.3494868,936.7880859375,22665216.0,"{'sha256': 'd87ff9cbd8c0f7ea1a74de99e0f5a5fdc335dff15fa9600f11ff71e4abb9872e', 'path': 'media/html/render_22665216_d87ff9cbd8c0f7ea1a74.html', 'size': 3857337.0, '_type': 'html-file'}",-3.3288954455201747e-06,28932.655399117553,60.9169921875,-1992.5887451171875,0.0,0.0,22665216.0,0.107421875,0.0,88.4970703125,0.0,0.28251931071281433,0.0,60.9169921875,7577.90625
-8.672758102416992,2596.222923505,1773600437.5995958,898.962890625,22919168.0,,1.3809298252454028e-05,29125.538117609543,58.060546875,-1890.6055908203125,0.0,0.0,22919168.0,0.1015625,0.0,108.1953125,0.0,0.2790834307670593,0.0,58.060546875,7119.77001953125
-8.934416770935059,2619.10892144,1773600460.6593204,919.0576171875,23173120.0,,-3.2205338357016444e-05,28913.85484665274,80.1875,-1929.314208984375,0.0,0.0,23173120.0,0.1279296875,0.0,125.69921875,0.0,0.2786314785480499,0.0,80.1875,7209.240234375
-8.8587646484375,2642.138680771,1773600483.5452871,933.9580078125,23427072.0,,4.6086779548204504e-07,29087.96983365911,77.2900390625,-1958.354736328125,0.0,0.0,23427072.0,0.1220703125,0.0,135.1806640625,0.0,0.28266945481300354,0.0,77.2900390625,7334.9462890625
-8.785860061645508,2665.006813281,1773600506.5748901,906.044921875,23681024.0,,2.311163598278654e-06,28970.65852361826,87.498046875,-1936.0284423828125,0.0,0.0,23681024.0,0.1435546875,0.0,122.5439453125,0.0,0.26187029480934143,0.0,87.498046875,6873.337890625
-8.756904602050781,2715.035406536,1773600579.4724226,925.1005859375,23934976.0,"{'_type': 'html-file', 'sha256': 'e9eb3263e6bed38cdb0bea5748a95a08b9db164f190066ee4018d3228a4bcab4', 'path': 'media/html/render_23934976_e9eb3263e6bed38cdb0b.html', 'size': 3858953.0}",5.017365765525028e-06,29128.30749637124,78.6494140625,-1939.8963623046875,0.0,0.0,23934976.0,0.111328125,0.0,125.9384765625,0.0,0.2721077501773834,0.0,78.6494140625,7174.66259765625
-8.996760368347168,2738.240797431,1773600579.7572222,963.755859375,24188928.0,,4.031206844956614e-05,28974.94724681092,73.5556640625,-2063.718994140625,0.0,0.0,24188928.0,0.1162109375,0.0,120.9013671875,0.0,0.27594149112701416,0.0,73.5556640625,7557.30712890625
-9.0883150100708,2761.177258365,1773600602.6765747,907.208984375,24442880.0,,-7.491404630854959e-06,29009.01758774276,67.8251953125,-1857.086669921875,0.0,0.0,24442880.0,0.099609375,0.0,111.7744140625,0.0,0.28293463587760925,0.0,67.8251953125,6901.94189453125
-9.136590003967285,2784.066846525,1773600625.6137488,931.5830078125,24696832.0,,-6.22238076175563e-07,28917.504190689095,48.5751953125,-1823.0042724609375,0.0,0.0,24696832.0,0.0791015625,0.0,80.97265625,0.0,0.27732840180397034,0.0,48.5751953125,7505.76171875
-9.012289047241211,2807.197641102,1773600648.5030797,913.66015625,24950784.0,,3.575713708414696e-05,29035.208454326785,74.87109375,-1850.6630859375,0.0,0.0,24950784.0,0.119140625,0.0,116.2841796875,0.0,0.2836913466453552,0.0,74.87109375,7288.5947265625
-9.0283203125,2857.170801483,1773600721.6077864,940.3828125,25204736.0,"{'sha256': 'a579ec51e7445a93d5804960278fd5882b2a7222950cc9497f0279138e21a381', 'path': 'media/html/render_25204736_a579ec51e7445a93d580.html', 'size': 3875045.0, '_type': 'html-file'}",-5.630351097352104e-06,28955.754804576663,79.796875,-1910.618408203125,0.0,0.0,25204736.0,0.1220703125,0.0,125.908203125,0.0,0.263001412153244,0.0,79.796875,7389.591796875
-9.131241798400879,2880.318857318,1773600721.8592455,896.6845703125,25458688.0,,-1.253533991985023e-05,29129.68083202852,74.69921875,-1917.5057373046875,0.0,0.0,25458688.0,0.1201171875,0.0,125.865234375,0.0,0.2705642580986023,0.0,74.69921875,6832.3876953125
-9.129343032836914,2903.206910623,1773600744.7546666,946.84375,25712640.0,,3.733378980541602e-05,28930.128178533138,65.3310546875,-1828.7108154296875,0.0,0.0,25712640.0,0.103515625,0.0,115.419921875,0.0,0.27367547154426575,0.0,65.3310546875,7493.4033203125
-8.923934936523438,2926.216965201,1773600767.6433134,964.8486328125,25966592.0,,-3.1759078410686925e-05,29084.592623320474,77.7939453125,-2014.005126953125,0.0,0.0,25966592.0,0.12109375,0.0,145.923828125,0.0,0.2880364656448364,0.0,77.7939453125,7532.9013671875
-9.096213340759277,2949.120860004,1773600790.6532805,876.76953125,26220544.0,,3.361011476954445e-05,28942.786000167056,58.546875,-1789.1220703125,0.0,0.0,26220544.0,0.115234375,0.0,119.3388671875,0.0,0.2734653949737549,0.0,58.546875,6772.89892578125
-9.18089771270752,2999.46655042,1773600863.9035325,949.36328125,26474496.0,"{'size': 3862853.0, '_type': 'html-file', 'sha256': 'f452ca248184df999318ee199963c30846666c83176bef480322105dbb9931ef', 'path': 'media/html/render_26474496_f452ca248184df999318.html'}",-1.845321662585775e-06,29035.566997881167,89.7265625,-2004.9951171875,0.0,0.0,26474496.0,0.125,0.0,125.865234375,0.0,0.28762832283973694,0.0,89.7265625,7220.2734375
-9.33102035522461,3022.668748582,1773600864.1788862,932.4296875,26728448.0,,6.584511083929101e-06,28927.959647204178,76.8623046875,-1950.8414306640625,0.0,0.0,26728448.0,0.1298828125,0.0,128.2216796875,0.0,0.260371595621109,0.0,76.8623046875,7161.8349609375
