training/alpha_loss,eval/episode_reward,training/critic_loss,eval/episode_success_hard,training/log_alpha,training/sps,_timestamp,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_survive,training/actor_loss,eval/episode_success_any,_step,eval/episode_dist,render,eval/episode_success,step,eval/episode_reward_near,_runtime,eval/episode_success_easy,eval/episode_reward_dist
1.7851531083579175e-05,189.421875,3.215035915374756,0.0,-4.457729339599609,27619.022032117507,1774850921.0763187,-1634.096435546875,-3.998586416244507,773.0439453125,3.012576103210449,0.2587890625,20887552.0,3613.89306640625,,189.421875,20887552.0,0.0,2340.316872083,292.919921875,0.0
4.021956954147754e-07,179.29296875,3.216545820236206,0.0,-4.460363388061523,27754.615329322525,1774850944.632816,-1129.793212890625,-4.0000739097595215,615.4833984375,3.018150806427002,0.2724609375,21141504.0,2252.97314453125,,179.29296875,21141504.0,0.0,2363.720119043,266.109375,0.0
5.429481916507939e-06,190.8134765625,3.226468086242676,0.0,-4.449185371398926,27609.324446869687,1774851018.185705,-1451.638916015625,-3.999640703201294,745.28125,3.024477481842041,0.2958984375,21395456.0,3749.7119140625,"{'sha256': 'b1d2eaef02bdae281023389e54d2bbdf70518e9753c9b4d0531af62b0ecbdd91', 'path': 'media/html/render_21395456_b1d2eaef02bdae281023.html', 'size': 3820909.0, '_type': 'html-file'}",190.8134765625,21395456.0,0.0,2413.869111461,277.1337890625,0.0
8.008993972907774e-06,189.3291015625,3.2187612056732178,0.0,-4.4747490882873535,27734.52851171652,1774851018.4044192,-1467.630615234375,-3.9994089603424072,734.845703125,3.016428232192993,0.2802734375,21649408.0,3374.38037109375,,189.3291015625,21649408.0,0.0,2437.506873221,278.17578125,0.0
5.741860150010325e-06,192.01953125,3.2282044887542725,0.0,-4.474674701690674,27564.741493776277,1774851041.8229082,-1418.298583984375,-3.999596118927002,724.337890625,3.0261330604553223,0.2705078125,21903360.0,3328.36376953125,,192.01953125,21903360.0,0.0,2461.070318768,287.8291015625,0.0
4.004071797680808e-06,212.5947265625,3.2273972034454346,0.0,-4.477079391479492,27746.671073755322,1774851065.3863614,-1715.71337890625,-3.999753475189209,828.01953125,3.0284481048583984,0.30859375,22157312.0,3918.5146484375,,212.5947265625,22157312.0,0.0,2484.451618953,305.6875,0.0
-1.3485569070326164e-05,169.8583984375,3.242091178894043,0.0,-4.472284317016602,27674.85485849838,1774851088.7676442,-1497.7657470703125,-4.001270771026611,782.5791015625,3.0420238971710205,0.2294921875,22411264.0,4154.4208984375,,169.8583984375,22411264.0,0.0,2508.02300672,265.3193359375,0.0
3.167766408296302e-05,215.943359375,3.229381561279297,0.0,-4.486145973205566,27725.755667898124,1774851164.322441,-1489.215087890625,-3.997339963912964,744.537109375,3.0369644165039062,0.3154296875,22665216.0,3019.372802734375,"{'size': 3777845.0, '_type': 'html-file', 'sha256': '0759ddfbe69531fc101f1852ad3cb9ede4a74e03f05feada649d2cec68e6978f', 'path': 'media/html/render_22665216_0759ddfbe69531fc101f.html'}",215.943359375,22665216.0,0.0,2560.005890039,322.0810546875,0.0
2.824511966537102e-06,172.4052734375,3.2390177249908447,0.0,-4.491621494293213,27622.674889045295,1774851164.5300157,-1348.618896484375,-3.999849796295166,690.2392578125,3.041999101638794,0.2548828125,22919168.0,3027.213134765625,,172.4052734375,22919168.0,0.0,2583.78779171,273.0625,0.0
7.2119660217140336e-06,183.892578125,3.253720283508301,0.0,-4.509056091308594,27716.653720402835,1774851188.103859,-1526.55078125,-3.999455451965332,729.978515625,3.0514605045318604,0.2802734375,23173120.0,3240.9150390625,,183.892578125,23173120.0,0.0,2607.198578584,281.3984375,0.0
1.6212410628213547e-05,205.1259765625,3.2540054321289062,0.0,-4.5116143226623535,27609.612140732228,1774851211.5144544,-1598.97412109375,-3.9986255168914795,753.3505859375,3.0517005920410156,0.2880859375,23427072.0,3491.133544921875,,205.1259765625,23427072.0,0.0,2630.78225654,305.9765625,0.0
-1.6689218682586215e-05,206.6962890625,3.257819890975952,0.0,-4.522758960723877,27678.2549451325,1774851235.0982988,-1540.767333984375,-4.001621246337891,730.337890625,3.0543649196624756,0.3017578125,23681024.0,3230.824951171875,,206.6962890625,23681024.0,0.0,2654.198950742,315.7705078125,0.0
4.145803359278943e-06,199.8916015625,3.2389724254608154,0.0,-4.519348621368408,27588.757715993183,1774851309.1147654,-1590.0887451171875,-3.9997291564941406,769.4443359375,3.0407326221466064,0.291015625,23934976.0,3741.30419921875,"{'path': 'media/html/render_23934976_3a72bc6204c6a9af8351.html', 'size': 3843449.0, '_type': 'html-file', 'sha256': '3a72bc6204c6a9af8351f5e60f0bc57728a603796d7c15c34fdf85121c959c0f'}",199.8916015625,23934976.0,0.0,2704.798195777,301.17578125,0.0
3.204364111297764e-05,165.03515625,3.2590465545654297,0.0,-4.556958198547363,27650.92329253158,1774851309.3232212,-1420.38427734375,-3.9971470832824707,695.314453125,3.0593295097351074,0.2607421875,24188928.0,3468.374267578125,,165.03515625,24188928.0,0.0,2728.433571804,259.2216796875,0.0
3.6814165014220634e-06,213.927734375,3.251460075378418,0.0,-4.554927825927734,27564.802127771734,1774851332.7495315,-1260.412841796875,-3.9997541904449463,656.8974609375,3.0482029914855957,0.306640625,24442880.0,2645.998779296875,,213.927734375,24442880.0,0.0,2752.018825432,311.5810546875,0.0
7.098452897480456e-06,197.482421875,3.247988224029541,0.0,-4.562853813171387,27685.034598837243,1774851356.3347914,-1438.248046875,-3.9994399547576904,719.7041015625,3.045928716659546,0.296875,24696832.0,2925.6806640625,,197.482421875,24696832.0,0.0,2775.405786492,330.0107421875,0.0
5.49959304407821e-06,210.2021484375,3.2509286403656006,0.0,-4.564441680908203,27665.08354243033,1774851379.7217457,-1465.345703125,-3.9995834827423096,685.521484375,3.0503759384155273,0.287109375,24950784.0,2980.51123046875,,210.2021484375,24950784.0,0.0,2798.980064427,287.4375,0.0
2.8280405786063056e-06,166.5029296875,3.258240222930908,0.0,-4.565737724304199,27713.67178084021,1774851453.430345,-1192.58544921875,-3.9998385906219482,597.5537109375,3.0588879585266113,0.24609375,25204736.0,2343.384765625,"{'_type': 'html-file', 'sha256': 'fa99f1151b7bcaec41bc5d8488533a491b43f0335fa342e937d58bf95185bab3', 'path': 'media/html/render_25204736_fa99f1151b7bcaec41bc.html', 'size': 3775293.0}",166.5029296875,25204736.0,0.0,2849.113772574,291.3984375,0.0
2.5558505512890406e-05,183.1748046875,3.2693967819213867,0.0,-4.591823101043701,27649.40593165211,1774851453.6459277,-1344.478271484375,-3.99761962890625,723.349609375,3.0716660022735596,0.2841796875,25458688.0,3176.96337890625,,183.1748046875,25458688.0,0.0,2872.939185614,297.2490234375,0.0
-4.705108494817978e-06,216.8369140625,3.258286952972412,0.0,-4.581231594085693,27643.294390947663,1774851477.2552116,-1306.927978515625,-4.000576496124268,627.12890625,3.0628459453582764,0.291015625,25712640.0,2475.79541015625,,216.8369140625,25712640.0,0.0,2896.342939904,279.5322265625,0.0
-1.4643238500866573e-05,191.02734375,3.2671830654144287,0.0,-4.576359748840332,27606.98590430207,1774851500.6589355,-1483.9676513671875,-4.001523494720459,680.685546875,3.067918062210083,0.271484375,25966592.0,2934.603515625,,191.02734375,25966592.0,0.0,2919.912948146,290.740234375,0.0
2.6365567464381456e-05,207.033203125,3.259659767150879,0.0,-4.587062358856201,27729.836024657343,1774851524.2289064,-1784.1513671875,-3.9975388050079346,834.0556640625,3.0697271823883057,0.306640625,26220544.0,4192.49462890625,,207.033203125,26220544.0,0.0,2943.281139655,289.123046875,0.0
8.656839781906456e-06,193.1513671875,3.2598652839660645,0.0,-4.603231906890869,27713.995544433146,1774851597.6847641,-1391.124267578125,-3.9992339611053467,686.1318359375,3.061983108520508,0.2802734375,26474496.0,2824.152587890625,"{'sha256': '796453c96b5b297f186ede341135070f9b3e068b31b32c31c19a1737de5feb91', 'path': 'media/html/render_26474496_796453c96b5b297f186e.html', 'size': 3813233.0, '_type': 'html-file'}",193.1513671875,26474496.0,0.0,2993.368159505,297.7373046875,0.0
-2.012817822105717e-05,192.96484375,3.2656095027923584,0.0,-4.590853214263916,27694.6968814238,1774851597.893816,-1192.0205078125,-4.002079963684082,617.052734375,3.0702576637268066,0.2978515625,26728448.0,2120.49853515625,,192.96484375,26728448.0,0.0,3017.010209391,321.65625,0.0
3.4948123357025906e-05,204.07421875,3.260127067565918,0.0,-4.598622798919678,27543.664884479334,1774851621.3262417,-1300.2542724609375,-3.996628522872925,632.8271484375,3.06734561920166,0.283203125,26982400.0,2296.2724609375,,204.07421875,26982400.0,0.0,3040.591326566,316.3408203125,0.0
-6.533779469464207e-06,201.6416015625,3.2674129009246826,0.0,-4.621707439422607,27689.145445521237,1774851644.907315,-1101.011962890625,-4.000766754150391,602.2392578125,3.076282262802124,0.3017578125,27236352.0,1887.808349609375,,201.6416015625,27236352.0,0.0,3063.987478675,334.2265625,0.0
1.0423643288959283e-05,224.6796875,3.2588613033294678,0.0,-4.620691776275635,27634.335396722785,1774851668.3034527,-1321.222412109375,-3.9990427494049072,644.14453125,3.0692689418792725,0.3125,27490304.0,2482.23583984375,,224.6796875,27490304.0,0.0,3087.543026795,293.982421875,0.0
