eval/episode_success_easy,training/sps,_timestamp,training/critic_loss,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,_runtime,_step,training/log_alpha,render,training/entropy,step,eval/episode_reward_survive,eval/episode_success_any,training/actor_loss,training/alpha_loss,eval/episode_reward,eval/episode_reward_near,eval/episode_dist,eval/episode_reward_ctrl
293.7509765625,22271.740457852142,1773953058.227222,0.7496336102485657,271.60546875,0.0,0.0,2197.940507475,17586176.0,0.0,"{'path': 'media/html/render_17586176_7eecd5c741f466a39838.html', 'size': 3854497.0, '_type': 'html-file', 'sha256': '7eecd5c741f466a39838c050373306e65dc9a22982ee8e0376449fe47c81e7b1'}",0.0,17586176.0,791.990234375,0.3251953125,-41.107486724853516,-4.2090607166755944e-05,271.60546875,0.0,4525.5283203125,-1467.2359619140625
278.375,22401.91441560583,1773953058.4344423,0.7627425789833069,255.4970703125,0.0,0.0,2223.856767964,17840128.0,0.0,,0.0,17840128.0,934.232421875,0.3251953125,-41.097511291503906,5.7899014791473746e-05,255.4970703125,0.0,6044.4833984375,-1810.875244140625
308.54296875,22256.43072443044,1773953084.142859,0.7651913166046143,288.0634765625,0.0,0.0,2249.335860336,18094080.0,0.0,,0.0,18094080.0,919.9775390625,0.3544921875,-41.34549331665039,5.293231879477389e-06,288.0634765625,0.0,5511.30078125,-1724.3416748046875
307.5107421875,22438.267843536614,1773953109.621792,0.7622945308685303,287.2509765625,0.0,0.0,2275.031500175,18348032.0,0.0,,0.0,18348032.0,945.716796875,0.3544921875,-41.894874572753906,-5.9978938224958256e-05,287.2509765625,0.0,5711.560546875,-1729.492919921875
276.900390625,22336.345732256734,1773953135.3175611,0.7536223530769348,251.7451171875,0.0,0.0,2300.504793606,18601984.0,0.0,,0.0,18601984.0,936.546875,0.3232421875,-42.27035140991211,7.788656512275338e-05,251.7451171875,0.0,6070.1767578125,-1746.3367919921875
306.3134765625,22436.028037202264,1773953213.3832169,0.7329095602035522,283.66796875,0.0,0.0,2353.096551257,18855936.0,0.0,"{'sha256': 'e30da9b91a3334326df14f17fca4de1e0053cf860aaeaae0e37b3500cd9b86ee', 'path': 'media/html/render_18855936_e30da9b91a3334326df1.html', 'size': 3859221.0, '_type': 'html-file'}",0.0,18855936.0,946.00390625,0.3564453125,-42.44570541381836,2.8929080144735053e-05,283.66796875,0.0,5836.259765625,-1801.5999755859375
306.455078125,22326.428584082903,1773953213.6605883,0.7519453763961792,286.517578125,0.0,0.0,2378.862504715,19109888.0,0.0,,0.0,19109888.0,962.3876953125,0.345703125,-43.49500274658203,-2.351570947212167e-05,286.517578125,0.0,5793.4658203125,-1709.986083984375
264.1494140625,22426.656801636167,1773953239.147853,0.7421543598175049,248.8056640625,0.0,0.0,2404.515422402,19363840.0,0.0,,0.0,19363840.0,920.0244140625,0.2978515625,-44.1614875793457,2.2143931346363388e-05,248.8056640625,0.0,5873.61669921875,-1752.3966064453125
291.3193359375,22329.853784590614,1773953264.8014379,0.7498925924301147,274.734375,0.0,0.0,2429.965042826,19617792.0,0.0,,0.0,19617792.0,959.1884765625,0.33203125,-44.3505973815918,-4.2386367567814887e-05,274.734375,0.0,6099.4248046875,-1756.4656982421875
284.931640625,22466.275481755376,1773953290.2507818,0.7802498936653137,261.0556640625,0.0,0.0,2455.604928007,19871744.0,0.0,,0.0,19871744.0,958.6953125,0.326171875,-44.57861328125,3.859963908325881e-05,261.0556640625,0.0,6290.466796875,-1822.041015625
294.9853515625,22371.18068205401,1773953368.6156244,0.7559961080551147,280.7265625,0.0,0.0,2508.328898797,20125696.0,0.0,"{'size': 3874349.0, '_type': 'html-file', 'sha256': '4b289b6036ed8fdf82a9bcf6f84905d1d4f0c301f261b0e9fd5a2482bf094f4f', 'path': 'media/html/render_20125696_4b289b6036ed8fdf82a9.html'}",0.0,20125696.0,975.1015625,0.3212890625,-44.661766052246094,-9.362576747662388e-06,280.7265625,0.0,6373.720703125,-1853.83544921875
267.2880859375,22455.47239214035,1773953368.8386002,0.7326204180717468,249.2099609375,0.0,0.0,2534.241342245,20379648.0,0.0,,0.0,20379648.0,957.0234375,0.3076171875,-44.81388854980469,6.940296316315653e-06,249.2099609375,0.0,6399.20361328125,-1801.799072265625
290.330078125,22303.215682004597,1773953394.5273435,0.7556923031806946,276.1181640625,0.0,0.0,2559.708247629,20633600.0,0.0,,0.0,20633600.0,979.5859375,0.330078125,-45.494136810302734,-1.81109116965672e-05,276.1181640625,0.0,6452.6083984375,-1754.502197265625
