eval/episode_dist,eval/episode_success_easy,eval/episode_success_hard,training/sps,eval/episode_success_any,eval/episode_reward_ctrl,_timestamp,eval/episode_success,_step,eval/episode_reward_survive,eval/episode_reward,training/critic_loss,eval/episode_reward_near,step,training/log_alpha,training/alpha_loss,render,_runtime,training/entropy,eval/episode_reward_dist,training/actor_loss
1393.16650390625,3.6611328125,0.0,44533.45314571856,0.0,-1586.314208984375,1774229220.385707,0.0,20125696.0,397.5556640625,0.0,0.0003929785452783108,0.0,20125696.0,0.0,0.0,"{'path': 'media/html/render_20125696_d6bd096fdee6320704d1.html', 'size': 3975061.0, '_type': 'html-file', 'sha256': 'd6bd096fdee6320704d134eecbe15f13296b4f65742d61dfd1474c05d052e030'}",1046.658248104,0.0,0.0,0.0382373109459877
1661.779296875,1.1884765625,0.0,44915.25886509212,0.0009765625,-1857.7891845703125,1774229220.588917,0.0068359375,20379648.0,464.9130859375,0.0068359375,0.00046079797903075814,0.0,20379648.0,0.0,0.0,,1055.604579597,0.0,0.0,0.032990437000989914
2509.831298828125,4.783203125,0.0,44389.797928863176,0.0,-2874.05908203125,1774229229.331528,0.0,20633600.0,719.0703125,0.0,0.0006824589218012989,0.0,20633600.0,0.0,0.0,,1064.229592964,0.0,0.0,0.023351246491074562
1778.0889892578125,3.037109375,0.0,45040.27927113993,0.0,-2026.86865234375,1774229237.95657,0.0,20887552.0,507.30859375,0.0,0.0006365865701809525,0.0,20887552.0,0.0,0.0,,1072.921681479,0.0,0.0,0.025283735245466232
2737.935546875,2.833984375,0.0,44776.63928526328,0.0009765625,-3123.81787109375,1774229246.64859,0.00390625,21141504.0,781.8681640625,0.00390625,0.0007069894345477223,0.0,21141504.0,0.0,0.0,,1081.585089488,0.0,0.0,0.024559365585446358
2030.5091552734375,0.095703125,0.0,44756.0694298331,0.0,-2324.859375,1774229284.1711168,0.0,21395456.0,581.7060546875,0.0,0.0008741833153180778,0.0,21395456.0,0.0,0.0,"{'path': 'media/html/render_21395456_c5dfdc02e03c66254206.html', 'size': 3929809.0, '_type': 'html-file', 'sha256': 'c5dfdc02e03c66254206bf040359a3343874bd04b9c46db473fd2795b32e6e4a'}",1110.443639272,0.0,0.0,0.0205831415951252
1104.2945556640625,0.1552734375,0.0,44914.067580846124,0.0,-1233.2420654296875,1774229284.3764522,0.0,21649408.0,308.548828125,0.0,0.0005597549024969339,0.0,21649408.0,0.0,0.0,,1119.341197956,0.0,0.0,0.03209015727043152
1362.095703125,12.947265625,0.0,44657.58239073502,0.0,-1621.15185546875,1774229293.0679479,0.0,21903360.0,405.681640625,0.0,0.0003762411652132869,0.0,21903360.0,0.0,0.0,,1128.094301131,0.0,0.0,0.03708992153406143
1112.343994140625,0.1953125,0.0,44305.62149460443,0.0,-1273.2811279296875,1774229301.8212516,0.0,22157312.0,318.5224609375,0.0,0.0004941090592183173,0.0,22157312.0,0.0,0.0,,1136.769100042,0.0,0.0,0.03667512536048889
1744.068359375,3.775390625,0.0,44698.44744805952,0.0,-2020.3466796875,1774229310.4955282,0.0,22411264.0,505.443359375,0.0,0.000701884098816663,0.0,22411264.0,0.0,0.0,,1145.47616311,0.0,0.0,0.028166083618998528
1754.269287109375,2.2421875,0.0,44628.43263781285,0.0,-2022.357421875,1774229346.7387707,0.0,22665216.0,505.9580078125,0.0,0.00031937353196553886,0.0,22665216.0,0.0,0.0,"{'sha256': '2f50c2db686863707c6a7e87c94c298a23eec822c4fd553ada90c5b70121df94', 'path': 'media/html/render_22665216_2f50c2db686863707c6a.html', 'size': 3886029.0, '_type': 'html-file'}",1173.011271148,0.0,0.0,0.03295549750328064
1979.791748046875,4.244140625,0.0,44827.353420643165,0.0,-2274.69580078125,1774229346.9347215,0.0,22919168.0,569.0615234375,0.0,0.0008366683614440262,0.0,22919168.0,0.0,0.0,,1181.950272017,0.0,0.0,0.021065251901745796
1045.6832275390625,2.1357421875,0.0,44401.194559799296,0.0,-1212.871337890625,1774229355.677373,0.0,23173120.0,303.482421875,0.0,0.0008407449349761009,0.0,23173120.0,0.0,0.0,,1190.638217645,0.0,0.0,0.01892675831913948
1964.34326171875,3.0400390625,0.0,44580.44915902081,0.0,-2249.71728515625,1774229364.365133,0.0,23427072.0,562.7529296875,0.0,0.0006250519654713571,0.0,23427072.0,0.0,0.0,,1199.360089607,0.0,0.0,0.015524525195360184
2315.689453125,7.6611328125,0.0,44482.85528215795,0.0009765625,-2608.899658203125,1774229373.087099,0.931640625,23681024.0,652.6025390625,0.931640625,0.0006698533543385565,0.0,23681024.0,0.0,0.0,,1208.050500583,0.0,0.0,0.017903996631503105
2020.631591796875,8.3193359375,0.0,44567.89364211034,0.0009765625,-2286.742919921875,1774229409.9968772,0.0458984375,23934976.0,572.001953125,0.0458984375,0.0005609380314126611,0.0,23934976.0,0.0,0.0,"{'_type': 'html-file', 'sha256': '5bb0dfb1d89456a1bbd7e3dc85574a88fe3f7e0c57fd65a2d9614fc0b5039665', 'path': 'media/html/render_23934976_5bb0dfb1d89456a1bbd7.html', 'size': 3996437.0}",1236.269363777,0.0,0.0,0.021992864087224007
1347.246337890625,4.7275390625,0.0,44441.294845845325,0.0,-1520.744384765625,1774229410.1775568,0.0,24188928.0,380.5205078125,0.0,0.0005774545716121793,0.0,24188928.0,0.0,0.0,,1245.13223965,0.0,0.0,0.024532636627554893
808.3548583984375,2.587890625,0.0,44680.97610646936,0.0,-912.5475463867188,1774229418.8591313,0.0,24442880.0,228.4072265625,0.0,0.0005471904296427965,0.0,24442880.0,0.0,0.0,,1253.814846893,0.0,0.0,0.026145897805690765
1125.6715087890625,5.1630859375,0.0,44824.34830411588,0.0009765625,-1273.26025390625,1774229427.5418732,0.943359375,24696832.0,318.6025390625,0.943359375,0.00047491263831034303,0.0,24696832.0,0.0,0.0,,1262.445070975,0.0,0.0,0.022918514907360077
2277.369140625,3.9033203125,0.0,45035.50889814924,0.0009765625,-2553.9248046875,1774229436.1721869,0.0087890625,24950784.0,638.8056640625,0.0087890625,0.00038185511948540807,0.0,24950784.0,0.0,0.0,,1271.125316104,0.0,0.0,0.022544413805007935
981.4185791015625,5.052734375,0.0,44843.449818094174,0.0,-1122.1402587890625,1774229473.636641,0.0,25204736.0,280.75390625,0.0,0.0004934457247145474,0.0,25204736.0,0.0,0.0,"{'path': 'media/html/render_25204736_6af5f468016ea5805653.html', 'size': 4053357.0, '_type': 'html-file', 'sha256': '6af5f468016ea58056531d92d003f947bf27f154e367c48d51cc5786f6721c25'}",1299.909163111,0.0,0.0,0.02026030234992504
795.29541015625,6.5107421875,0.0,44895.61169864226,0.0029296875,-884.9467163085938,1774229473.845309,0.029296875,25458688.0,221.5458984375,0.029296875,0.0008066876325756311,0.0,25458688.0,0.0,0.0,,1308.847594649,0.0,0.0,0.008572317659854889
