training/alpha_loss,training/log_alpha,eval/episode_success_easy,eval/episode_reward_near,eval/episode_reward,eval/episode_reward_dist,_timestamp,eval/episode_dist,eval/episode_success_any,eval/episode_reward_survive,step,training/sps,eval/episode_reward_ctrl,training/entropy,_step,eval/episode_success_hard,_runtime,eval/episode_success,training/actor_loss,render,training/critic_loss
0.0,0.0,11.109375,0.0,0.0,0.0,1774224177.0509825,2069.036865234375,0.0,590.65234375,24188928.0,44892.5501219386,-2361.078125,0.0,24188928.0,0.0,1239.471061974,0.0,0.019215233623981476,,0.0015431428328156471
0.0,0.0,8.45703125,0.0,0.91796875,0.0,1774224185.7253284,1660.1729736328125,0.0009765625,477.2197265625,24442880.0,44720.96394942071,-1906.890869140625,0.0,24442880.0,0.0,1248.135544266,0.91796875,0.03156623989343643,,0.0007544960244558752
0.0,0.0,4.953125,0.0,0.0,0.0,1774224194.390357,1784.1949462890625,0.0,523.6005859375,24696832.0,44947.74143466741,-2092.24267578125,0.0,24696832.0,0.0,1256.75598007,0.0,0.010323276743292809,,0.0013554776087403297
0.0,0.0,6.2275390625,0.0,0.0,0.0,1774224203.0107365,1466.6405029296875,0.0,411.181640625,24950784.0,45039.55936568311,-1642.9393310546875,0.0,24950784.0,0.0,1265.43348356,0.0,0.011925858445465565,,0.0015342107508331537
0.0,0.0,7.736328125,0.0,0.0,0.0,1774224240.0337346,2376.15673828125,0.0,690.830078125,25204736.0,44879.197978069635,-2761.6162109375,0.0,25204736.0,0.0,1293.778510106,0.0,0.01947767287492752,"{'sha256': '75bf975fafdc8f773350c45470fd66f1c080d3389dd27189291548a10fa5fc11', 'path': 'media/html/render_25204736_75bf975fafdc8f773350.html', 'size': 3950801.0, '_type': 'html-file'}",0.0011231682728976011
0.0,0.0,10.46875,0.0,0.0,0.0,1774224240.2128217,2586.87939453125,0.0,760.5166015625,25458688.0,44812.79000187051,-3040.19775390625,0.0,25458688.0,0.0,1302.644180786,0.0,0.031120331957936287,,0.0009411855135113001
0.0,0.0,4.283203125,0.0,0.0,0.0,1774224248.8989954,1747.512451171875,0.0,493.4208984375,25712640.0,44832.48927300995,-1971.8485107421875,0.0,25712640.0,0.0,1311.262328529,0.0,0.031735461205244064,,0.0011791763827204704
0.0,0.0,4.76953125,0.0,0.0,0.0,1774224257.5171764,1877.089599609375,0.0,527.65234375,25966592.0,45085.3114422944,-2108.833984375,0.0,25966592.0,0.0,1319.931317929,0.0,0.043604567646980286,,0.0006999808247201145
0.0,0.0,7.1162109375,0.0,0.8115234375,0.0,1774224266.1859937,2583.3525390625,0.0009765625,741.736328125,26220544.0,44946.96379116322,-2964.0576171875,0.0,26220544.0,0.0,1328.54644551,0.8115234375,0.03437401354312897,,0.0009177498868666589
0.0,0.0,11.7119140625,0.0,0.0,0.0,1774224303.078798,1864.20751953125,0.0,542.8828125,26474496.0,45075.306262411665,-2168.476318359375,0.0,26474496.0,0.0,1356.823563275,0.0,0.02982955425977707,"{'size': 3907629.0, '_type': 'html-file', 'sha256': '205c46df69c29b9729636810fb67266e2347aad252d6812a897920d1c149d773', 'path': 'media/html/render_26474496_205c46df69c29b972963.html'}",0.0010400143219158053
0.0,0.0,10.51171875,0.0,0.0,0.0,1774224303.3485782,2394.6103515625,0.0,688.3349609375,26728448.0,44907.97957109003,-2751.0576171875,0.0,26728448.0,0.0,1365.762576297,0.0,0.03564644232392311,,0.0007259303820319474
