_timestamp,training/critic_loss,training/sps,training/log_alpha,eval/episode_success_any,eval/episode_reward_survive,eval/episode_reward_near,render,_runtime,eval/episode_success,step,eval/episode_reward,eval/episode_reward_ctrl,training/actor_loss,eval/episode_reward_dist,training/entropy,_step,eval/episode_success_hard,eval/episode_success_easy,training/alpha_loss,eval/episode_dist
1774231486.224905,0.0018516442505642772,43895.80816517043,0.0,0.0,638.1259765625,0.0,,704.711069097,0.0,13522944.0,0.0,-2537.114501953125,0.03137877583503723,0.0,0.0,13522944.0,0.0,2.5283203125,0.0,2239.081787109375
1774231523.681921,0.002092032926157117,44038.1558907849,0.0,0.0,731.603515625,0.0,"{'path': 'media/html/render_13776896_ecb3c697e75e128e6c04.html', 'size': 4052021.0, '_type': 'html-file', 'sha256': 'ecb3c697e75e128e6c046ee8cc779aea68ec750512fe598d49a34531d96d4f9b'}",733.411541862,0.0,13776896.0,0.0,-2909.832763671875,0.03026309236884117,0.0,0.0,13776896.0,0.0,3.0595703125,0.0,2559.5244140625
1774231523.8864896,0.001260268036276102,43837.34562381916,0.0,0.0,648.4384765625,0.0,,742.410617526,0.0,14030848.0,0.0,-2583.041259765625,0.04363340884447098,0.0,0.0,14030848.0,0.0,9.56640625,0.0,2281.49755859375
1774231532.6803944,0.001143379253335297,43795.035461642605,0.0,0.0009765625,518.70703125,0.0,,751.202289473,0.8349609375,14284800.0,0.8349609375,-2058.792724609375,0.04269462823867798,0.0,0.0,14284800.0,0.0,6.8759765625,0.0,1796.22900390625
1774231541.4723127,0.0021677836775779724,43988.24972578373,0.0,0.0009765625,488.708984375,0.0,,759.966131682,0.888671875,14538752.0,0.888671875,-1945.4990234375,0.02698773890733719,0.0,0.0,14538752.0,0.0,8.990234375,0.0,1793.698486328125
1774231550.2359216,0.0010755141265690327,43987.012648819575,0.0,0.0,798.357421875,0.0,,768.77502115,0.0,14792704.0,0.0,-3186.9599609375,0.04111061245203018,0.0,0.0,14792704.0,0.0,5.6689453125,0.0,2898.224365234375
1774231587.7797642,0.0019209577003493905,43894.88741198733,0.0,0.0,691.2060546875,0.0,"{'path': 'media/html/render_15046656_c2d10421163225c2f200.html', 'size': 3955065.0, '_type': 'html-file', 'sha256': 'c2d10421163225c2f20007bed34346640906d7f04c7951505c108539a42f0957'}",797.509365247,0.0,15046656.0,0.0,-2756.82421875,0.03368283063173294,0.0,0.0,15046656.0,0.0,4.517578125,0.0,2459.685791015625
1774231587.960924,0.002258964814245701,44066.353447479116,0.0,0.0009765625,626.0244140625,0.0,,806.516595983,0.0810546875,15300608.0,0.0810546875,-2492.713134765625,0.042277634143829346,0.0,0.0,15300608.0,0.0,4.931640625,0.0,2204.21484375
1774231596.7864602,0.001970282755792141,43772.8154596195,0.0,0.0,540.1826171875,0.0,,815.266334716,0.0,15554560.0,0.0,-2153.89794921875,0.06400249153375626,0.0,0.0,15554560.0,0.0,0.21484375,0.0,1909.95556640625
1774231605.5362153,0.002142626326531172,44163.70287862746,0.0,0.0,540.724609375,0.0,,824.094100735,0.0,15808512.0,0.0,-2151.0,0.0670619085431099,0.0,0.0,15808512.0,0.0,3.8994140625,0.0,1902.1534423828125
1774231614.363928,0.0013642855919897556,43726.04295789253,0.0,0.0,559.525390625,0.0,,832.840636654,0.0,16062464.0,0.0,-2227.010498046875,0.0800364688038826,0.0,0.0,16062464.0,0.0,2.8896484375,0.0,2000.68017578125
1774231651.3754766,0.0011807498522102833,44133.87194425324,0.0,0.0,631.1083984375,0.0,"{'path': 'media/html/render_16316416_52fe39dec4213848b45e.html', 'size': 3902461.0, '_type': 'html-file', 'sha256': '52fe39dec4213848b45e6bdb297d8aeabf50264757c0cd7da91a6d3d3e04b403'}",861.105061512,0.0,16316416.0,0.0,-2511.0205078125,0.07879626750946045,0.0,0.0,16316416.0,0.0,0.029296875,0.0,2239.3916015625
1774231651.5900795,0.0015286239795386791,43687.33896315156,0.0,0.0,684.7412109375,0.0,,870.088010792,0.0,16570368.0,0.0,-2728.488037109375,0.06026070564985275,0.0,0.0,16570368.0,0.0,1.83203125,0.0,2385.4462890625
1774231660.3577297,0.0018113878322765231,43994.25807729882,0.0,0.0,590.0869140625,0.0,,878.89088084,0.0,16824320.0,0.0,-2347.56298828125,0.056970469653606415,0.0,0.0,16824320.0,0.0,1.8994140625,0.0,1969.87548828125
1774231669.1600971,0.001791561720892787,43927.913949198446,0.0,0.0,829.3271484375,0.0,,887.652993545,0.0,17078272.0,0.0,-3302.36474609375,0.04555687680840492,0.0,0.0,17078272.0,0.0,1.599609375,0.0,2930.07373046875
1774231677.922856,0.0019248392200097442,44016.41431052644,0.0,0.0,865.185546875,0.0,,896.469235843,0.0,17332224.0,0.0,-3455.501708984375,0.036648064851760864,0.0,0.0,17332224.0,0.0,4.0390625,0.0,3058.28125
1774231715.562531,0.0016568787395954132,43829.718928944545,0.0,0.0,825.0390625,0.0,"{'path': 'media/html/render_17586176_6732c694deec9d6e603d.html', 'size': 3922869.0, '_type': 'html-file', 'sha256': '6732c694deec9d6e603d8240f7780b6133b6c65bc309ae989040e55ecef70236'}",925.292205186,0.0,17586176.0,0.0,-3289.569580078125,0.036056552082300186,0.0,0.0,17586176.0,0.0,1.87890625,0.0,2893.5068359375
1774231715.7677333,0.0007581770769320428,44008.661545670366,0.0,0.0,755.3955078125,0.0,,934.350410387,0.0,17840128.0,0.0,-3012.656494140625,0.040713775902986526,0.0,0.0,17840128.0,0.0,1.884765625,0.0,2659.4091796875
1774231724.6202195,0.0008336107130162418,43610.88966294572,0.0,0.0,762.6865234375,0.0,,943.098724558,0.0,18094080.0,0.0,-3042.25390625,0.03067144937813282,0.0,0.0,18094080.0,0.0,6.7509765625,0.0,2658.91748046875
1774231733.3685474,0.0006004119059070945,44098.172522144785,0.0,0.0,782.5234375,0.0,,951.932942913,0.0,18348032.0,0.0,-3120.44873046875,0.025809727609157562,0.0,0.0,18348032.0,0.0,2.7001953125,0.0,2801.20654296875
1774231742.2027733,0.0009867391781881452,43730.719479930725,0.0,0.0,571.1640625,0.0,,960.692858281,0.0,18601984.0,0.0,-2280.287841796875,0.021109916269779205,0.0,0.0,18601984.0,0.0,3.607421875,0.0,1963.44970703125
1774231779.3350902,0.0016705406596884131,44041.269567526375,0.0,0.0009765625,537.400390625,0.0,"{'path': 'media/html/render_18855936_f9ae8249bf1ce5a83353.html', 'size': 3956373.0, '_type': 'html-file', 'sha256': 'f9ae8249bf1ce5a83353ab9bbffb47dc0133c3957808e00e82ba768cc51f48b7'}",989.064685067,0.0029296875,18855936.0,0.0029296875,-2144.633544921875,0.008654764853417873,0.0,0.0,18855936.0,0.0,4.1025390625,0.0,1895.823974609375
1774231779.524616,0.0018036799738183618,43952.7581996827,0.0,0.0,525.7255859375,0.0,,998.026308526,0.0,19109888.0,0.0,-2097.19970703125,0.0077677504159510136,0.0,0.0,19109888.0,0.0,3.21875,0.0,1817.66796875
1774231788.2962475,0.001806384650990367,43979.84224297747,0.0,0.0,727.869140625,0.0,,1006.83608767,0.0,19363840.0,0.0,-2904.16943359375,0.00881664827466011,0.0,0.0,19363840.0,0.0,11.8935546875,0.0,2527.138916015625
1774231797.1060138,0.0010672243079170585,43922.18994285692,0.0,0.0,740.26953125,0.0,,1015.571652554,0.0,19617792.0,0.0,-2956.294677734375,0.018225595355033875,0.0,0.0,19617792.0,0.0,5.0537109375,0.0,2606.119384765625
1774231805.8415666,0.0012164111249148846,44204.862912586286,0.0,0.0,775.6650390625,0.0,,1024.416166399,0.0,19871744.0,0.0,-3097.44970703125,0.015056796371936798,0.0,0.0,19871744.0,0.0,2.0498046875,0.0,2691.56201171875
1774231842.7932477,0.0014128941111266613,43643.6438535833,0.0,0.0,669.3154296875,0.0,"{'_type': 'html-file', 'sha256': '996459d3bef98c8d90f0a5481f8731a0324375ad3b9f7e260fd5cccdbf4ea03c', 'path': 'media/html/render_20125696_996459d3bef98c8d90f0.html', 'size': 3994477.0}",1052.522812294,0.0,20125696.0,0.0,-2675.16748046875,0.015360139310359955,0.0,0.0,20125696.0,0.0,5.2880859375,0.0,2378.4619140625
1774231842.9977095,0.0011256191646680236,44178.31281109903,0.0,0.0009765625,743.2548828125,0.0,,1061.61749787,0.9052734375,20379648.0,0.9052734375,-2971.169189453125,0.009355120360851288,0.0,0.0,20379648.0,0.0,3.990234375,0.0,2574.30615234375
1774231851.8874514,0.0009041437297128141,43329.325206317844,0.0,0.0,656.4384765625,0.0,,1070.36027279,0.0,20633600.0,0.0,-2623.9423828125,0.023900773376226425,0.0,0.0,20633600.0,0.0,2.99609375,0.0,2320.22509765625
1774231860.6296742,0.0005898497183807194,44141.7987720218,0.0,0.0009765625,715.158203125,0.0,,1079.197934292,0.001953125,20887552.0,0.001953125,-2858.416015625,0.027900120243430138,0.0,0.0,20887552.0,0.0,3.4052734375,0.0,2477.738037109375
1774231869.4678555,0.00040358625119552016,43671.99006601853,0.0,0.0,726.2744140625,0.0,,1087.95895452,0.0,21141504.0,0.0,-2901.7216796875,0.03014867566525936,0.0,0.0,21141504.0,0.0,0.1171875,0.0,2533.0556640625
1774231906.6176927,0.00047446959069930017,44189.39943379256,0.0,0.0,766.96484375,0.0,"{'path': 'media/html/render_21395456_56469b4d467f787894e2.html', 'size': 3953205.0, '_type': 'html-file', 'sha256': '56469b4d467f787894e228853c0acd1f9d012cb714d29d2296470bafec289b83'}",1116.347260749,0.0,21395456.0,0.0,-3063.94189453125,0.02546834573149681,0.0,0.0,21395456.0,0.0,2.5576171875,0.0,2631.164306640625
1774231906.8028781,0.000442874850705266,43844.900976848585,0.0,0.001953125,672.0888671875,0.0,,1125.31076713,0.2705078125,21649408.0,0.2705078125,-2683.9951171875,0.022460652515292168,0.0,0.0,21649408.0,0.0,6.2646484375,0.0,2334.47802734375
1774231915.5806947,0.0006274193292483687,43911.497656161235,0.0,0.0,813.1435546875,0.0,,1134.165988511,0.0,21903360.0,0.0,-3247.58984375,0.01740231178700924,0.0,0.0,21903360.0,0.0,1.0419921875,0.0,2845.59130859375
