training/log_alpha,training/actor_loss,training/alpha_loss,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_survive,_timestamp,training/entropy,eval/episode_dist,step,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_near,render,eval/episode_reward_ctrl
0.0,-0.3298019766807556,5.828740995639237e-06,0.00633810181170702,0.0,8.6748046875,41907.48451465817,0.5703125,0.0,964.900390625,1773784783.791573,0.0,3312.001708984375,14792704.0,14792704.0,0.0009765625,0.5703125,782.132759914,0.0,,-2266.05517578125
0.0,-0.33558404445648193,1.273881707675173e-06,0.0064561087638139725,0.0,6.609375,41977.45479526988,0.0,0.0,885.404296875,1773784821.1668217,0.0,3060.35693359375,15046656.0,15046656.0,0.0,0.0,810.400409371,0.0,"{'size': 4093389.0, '_type': 'html-file', 'sha256': '8ae6287f393802a47210fec2b8b7fd1445d6b386d401ea275481d59e175c5005', 'path': 'media/html/render_15046656_8ae6287f393802a47210.html'}",-2105.7021484375
0.0,-0.3994087278842926,-1.0304303941666149e-05,0.008556097745895386,0.0,5.96484375,41984.437205283684,0.3251953125,0.0,955.1083984375,1773784821.3458607,0.0,3266.229248046875,15300608.0,15300608.0,0.0009765625,0.3251953125,819.711494117,0.0,,-2230.726806640625
0.0,-0.41389235854148865,7.888093023211695e-07,0.00842911098152399,0.0,17.7861328125,41825.77393773757,0.0,0.0,841.248046875,1773784830.4772515,0.0,2783.51611328125,15554560.0,15554560.0,0.0,0.0,828.776629889,0.0,,-1885.4842529296875
0.0,-0.36126917600631714,1.1348804946464952e-05,0.007742841262370348,0.0,6.587890625,41982.61195778862,0.0,0.0,968.0498046875,1773784839.5421262,0.0,3304.42919921875,15808512.0,15808512.0,0.0,0.0,837.888537933,0.0,,-2254.07763671875
0.0,-0.45409804582595825,-1.3579150618170388e-05,0.008877575397491455,0.0,20.3251953125,41915.58505411298,0.6552734375,0.0,842.900390625,1773784848.6541734,0.0,2756.89501953125,16062464.0,16062464.0,0.0029296875,0.6552734375,846.960095517,0.0,,-2059.44775390625
0.0,-0.5959253311157227,5.775548743258696e-06,0.01063562836498022,0.0,11.4384765625,41931.19962731038,0.0,0.0,963.57421875,1773784886.143241,0.0,3243.8154296875,16316416.0,16316416.0,0.0,0.0,875.376863203,0.0,"{'path': 'media/html/render_16316416_914c2273c5681cd22187.html', 'size': 4114729.0, '_type': 'html-file', 'sha256': '914c2273c5681cd221877ae9b2761c1f01fd4bb19fd06d726c8a8525afa4ec46'}",-2314.4453125
0.0,-0.5459591150283813,-3.765087058127392e-06,0.011364823207259178,0.0,9.6396484375,41931.33828493474,0.0,0.0,811.3349609375,1773784886.3543272,0.0,2773.83056640625,16570368.0,16570368.0,0.0,0.0,884.682778564,0.0,,-1901.029052734375
0.0,-0.5244379639625549,8.907035407901276e-06,0.010324858129024506,0.0,7.98046875,41819.236603017445,0.0,0.0,955.884765625,1773784895.4484382,0.0,3213.18359375,16824320.0,16824320.0,0.0,0.0,893.786403609,0.0,,-2196.277587890625
0.0,-0.5213304758071899,3.542148760971031e-06,0.009444589726626873,0.0,5.298828125,41998.26658275045,0.322265625,0.0,859.96484375,1773784904.551695,0.0,3005.0859375,17078272.0,17078272.0,0.0009765625,0.322265625,902.857428374,0.0,,-1936.912353515625
0.0,-0.47188764810562134,-8.960570312410709e-07,0.009022138081490993,0.0,10.9375,41903.39585509016,0.0,0.0,954.923828125,1773784913.6232264,0.0,3255.41845703125,17332224.0,17332224.0,0.0,0.0,911.961192891,0.0,,-2291.525390625
0.0,-0.41137465834617615,6.217324425961124e-06,0.00851454958319664,0.0,1.8505859375,41964.89396148251,0.0,0.0,935.8505859375,1773784951.0929344,0.0,3202.640380859375,17586176.0,17586176.0,0.0,0.0,940.326696172,0.0,"{'size': 4131581.0, '_type': 'html-file', 'sha256': '6d8453ba20513b2be6a21b7e29fc8a98c9eaf037606dcc680ff8738984182991', 'path': 'media/html/render_17586176_6d8453ba20513b2be6a2.html'}",-2115.360595703125
0.0,-0.4517243206501007,1.5138643902901094e-05,0.007507276721298695,0.0,12.48046875,41936.36524302576,0.0,0.0,970.6708984375,1773784951.2767198,0.0,3307.0146484375,17840128.0,17840128.0,0.0,0.0,949.641802004,0.0,,-2239.55908203125
0.0,-0.39977210760116577,-6.784045581298415e-06,0.00856479350477457,0.0,7.9697265625,41816.36023210149,0.0,0.0,927.947265625,1773784960.4075139,0.0,3113.64990234375,18094080.0,18094080.0,0.0,0.0,958.694381015,0.0,,-2143.45849609375
0.0,-0.32635775208473206,5.957165285508381e-07,0.007852630689740181,0.0,9.1474609375,42015.63490093337,0.0,0.0,938.068359375,1773784969.4600785,0.0,3212.421875,18348032.0,18348032.0,0.0,0.0,967.799787849,0.0,,-2144.72802734375
0.0,-0.373154878616333,-6.757606570317876e-06,0.009162954986095428,0.0,14.013671875,41985.208391082684,0.0,0.0,932.046875,1773784978.5653684,0.0,3084.88232421875,18601984.0,18601984.0,0.0,0.0,976.852503597,0.0,,-2119.80517578125
0.0,-0.4316839277744293,-1.688618340267567e-06,0.009445961564779282,0.0,11.03125,42008.21963545457,0.0,0.0,758.7021484375,1773785016.2745717,0.0,2524.025390625,18855936.0,18855936.0,0.0,0.0,1005.508250743,0.0,"{'path': 'media/html/render_18855936_5230caa262bfe60253fd.html', 'size': 4188861.0, '_type': 'html-file', 'sha256': '5230caa262bfe60253fd8f4fb17a5213fc2c1ef1fd6b382406d2b335995eed5e'}",-1830.6539306640625
0.0,-0.46029165387153625,8.72198143042624e-06,0.00888135563582182,0.0,19.8046875,42042.93567866568,0.703125,0.0,743.845703125,1773785016.4600134,0.0,2426.414794921875,19109888.0,19109888.0,0.001953125,0.703125,1014.796285192,0.0,,-1805.755615234375
0.0,-0.3643600642681122,-1.2271688376586098e-07,0.00754743255674839,0.0,9.5439453125,41789.58727693624,0.0,0.0,922.974609375,1773785025.56186,0.0,3145.4482421875,19363840.0,19363840.0,0.0,0.0,1023.909265732,0.0,,-2223.9609375
